"Jahr"	"Schweizer"	"Ausländer"
"institutionalisiert: 2004"	0.299	0.096
	0.034	0.023
"institutionalisiert: 2007"	0.250	0.089
	0.033	0.021
"institutionalisiert: 2010"	0.234	0.174
	0.060	0.064
"."	""	""
"institutionalisiert: 2013"	0.230	0.104
	0.051	0.065
"institutionalisiert: 2016"	0.261	0.088
	0.061	0.045
"institutionalisiert: 2020"	0.197	0.037
	0.056	0.023
"informell: 2004"	0.235	0.129
	0.030	0.025
"informell: 2007"	0.190	0.136
	0.028	0.027
"informell: 2010"	0.212	0.106
	0.055	0.049
"informell: 2013"	0.197	0.113
	0.054	0.042
"informell: 2016"	0.391	0.181
	0.070	0.062
"informell: 2020"	0.375	0.207
	0.068	0.080

