Jahr	Ergänzungsleistungen	Restfinanzierung	Beiträge Krankenversicherer	Eigenbeitrag Bewohnende Pflege	Eigenbeitrag Bewohnende Pension und Betreuung	Total
2011	58.6	26.7	55.1	18.5	110.1	269.0
2012	61.9	30.5	54.9	18.7	114.2	280.2
2013	65.2	37.3	48.2	19.3	112.8	282.8
2014	64.6	37.0	49.2	19.8	124.9	295.5
2015	66.4	38.9	51.0	20.5	136.4	313.2
2016	68.9	41.4	52.6	21.0	136.1	320.0
2017	68.1	41.9	60.9	22.5	148.7	342.1
2018	68.5	45.2	60.5	21.8	148.7	344.7
2019	65.0	48.5	60.4	21.0	152.3	347.2
2020	64.2	44.6	61.9	22.1	147.5	340.3
2021	59.2	45.5	60.2	21.3	143.0	329.2
2022	59.2	48.4	61.2	21.6	146.2	336.6
