Jahr	Winter (DJF)	Frühling (MAM)	Sommer (JJA)	Herbst (SON)
1864	12.8	41.4	106.3	34.1
1865	46.9	61.2	69.1	78.6
1866	61.6	88.7	42.4	36.1
1867	50.4	54.8	71.6	65.2
1868	66.6	34.7	44.5	63.6
1869	37.5	63.3	68.5	52.7
1870	59.1	63.1	76.5	66.8
1871	30.4	49.5	58.6	59.8
1872	32.2	194.2	131.7	54.2
1873	14.9	67.8	69.1	46.5
1874	49.6	57.4	75	48.8
1875	16.4	34.7	60.5	34.9
1876	25.3	44.1	98.6	37.8
1877	42.3	56	45.4	32
1878	24.5	44.2	91.6	47.9
1879	24.4	38.2	34.4	57.1
1880	25.1	55.7	70.1	55
1881	31.8	38.3	101	121.3
1882	20.5	26.3	62.6	69.1
1883	14.2	40.9	37.4	30.6
1884	29.4	21.8	49.7	61.4
1885	30	36.6	35.5	70.8
1886	48.4	47.7	89.5	56.2
1887	24.1	35.8	53.7	39.3
1888	21.2	42.6	52.9	72.8
1889	23.4	29.1	52.6	91.2
1890	32.8	49.4	58.9	38.9
1891	29.5	41.4	89.7	53.9
1892	31.5	33.4	69.2	45.4
1893	23.7	26.8	51.4	53.4
1894	17.5	60.1	57.5	65.7
1895	30.9	39.9	33.7	29.2
1896	27.5	27.9	61.8	112.8
1897	32.6	41.4	82	48.7
1898	39	29.3	46	52.6
1899	42.2	67.4	44.8	35
1900	42.6	24.4	61.4	27.4
1901	31.9	63.2	56.3	69.5
1902	35.9	41.9	76.8	32.2
1903	25.5	31.3	49.7	39.6
1904	59.7	25.9	28.9	34.2
1905	26.8	58.9	53.9	51.4
1906	32.1	52.9	55.4	62.6
1907	40.5	45	41.2	26.6
1908	30.2	45.7	99.9	54.6
1909	21.7	31	63.5	65
1910	83.9	18.1	76.1	65.9
1911	27.2	26.3	34.5	40.6
1912	38.6	39.2	42.3	33.5
1913	31.4	38.4	56	54.4
1914	60.2	44.3	45.2	42
1915	34.4	49.8	52.7	51.4
1916	32.9	29.4	60.6	45.3
1917	14	29.1	54.7	75.5
1918	31.7	34.5	26.1	54
1919	27.3	63.1	40.3	45.2
1920	24.5	40.7	56.2	59.9
1921	21.3	29.7	47.5	35.8
1922	43.9	59.9	42.9	47.3
1923	49.4	70.5	37.4	81.8
1924	15.8	50.8	52.1	47.7
1925	38.9	51.4	50.8	56.5
1926	22.3	46.3	42	60.9
1927	41	37.4	63.1	47.4
1928	29.9	24.7	50.3	48.5
1929	43.2	37.5	42.2	34.3
1930	23.6	51.3	58.9	50.6
1931	25.4	58.5	52.1	60.5
1932	15.9	56.2	53.7	39.1
1933	19	37	54.2	47.3
1934	21.8	23.5	74.6	47
1935	58.8	88.1	52.9	81.4
