Alter	Männer Friedmattviertel	Frauen Friedmattviertel	Männer Kannenfeld	Frauen Kannenfeld	Männer Landskron	Frauen Landskron	Männer Lysbüchel	Frauen Lysbüchel	Männer Pestalozzi	Frauen Pestalozzi
	23	22	9	3	23	20	23	22	11	13
	25	20	9	8	29	22	19	13	13	20
	27	14	8	9	32	33	27	24	12	21
	24	24	16	6	25	33	24	15	9	11
	24	16	11	7	30	24	32	26	6	10
	25	24	8	9	24	26	23	25	12	15
	23	27	12	9	20	28	15	18	17	17
	31	23	11	11	30	29	19	14	13	13
	26	28	6	6	20	29	18	22	14	11
	18	29	6	11	27	35	19	8	17	4
	27	24	3	4	28	25	20	15	18	7
	40	16	7	5	26	15	14	14	17	19
	28	20	3	4	28	26	14	9	13	7
	25	20	5	8	21	24	14	13	9	16
	27	25	4	7	26	32	5	14	8	19
	21	35	5	6	29	25	12	4	8	16
	24	25	1	8	27	34	5	6	4	10
	23	23	7	13	29	23	6	7	15	14
	23	33	5	5	19	19	5	10	9	14
	23	16	9	7	27	40	7	7	9	13
	21	36	5	12	34	39	10	9	13	12
	13	24	13	12	32	39	5	15	14	29
	14	18	9	18	40	43	17	10	24	32
	23	36	8	16	57	58	13	14	23	36
	25	28	20	16	55	72	21	25	30	41
	21	27	10	15	63	66	21	26	35	39
	26	34	15	12	65	83	22	22	33	49
	30	16	18	15	77	77	20	25	40	49
	25	32	15	17	54	85	23	35	44	40
	30	27	16	12	87	64	30	32	38	53
	23	36	17	15	63	75	33	30	32	43
	26	28	17	18	90	75	37	27	35	56
	24	22	23	15	82	66	23	34	42	33
	30	34	16	19	74	76	44	46	46	49
	35	35	21	26	64	81	37	38	30	48
	18	20	13	15	64	55	39	37	31	36
	26	27	14	23	65	56	36	31	33	33
	31	32	14	22	67	60	32	34	40	42
	29	25	16	18	63	59	31	34	29	23
	22	34	15	19	60	42	29	20	22	36
	26	35	13	18	61	52	30	26	31	34
	30	36	18	14	68	59	36	21	30	33
	35	19	18	6	65	63	34	30	31	23
	37	34	13	12	54	63	26	27	24	25
	23	38	13	12	59	34	20	20	21	36
	29	24	9	9	76	39	19	22	25	17
	29	28	14	10	46	46	33	19	26	22
	27	33	13	13	69	33	14	20	19	31
	26	27	12	6	52	41	16	14	23	22
	28	21	12	14	49	32	19	13	33	33
	17	34	19	10	46	49	21	10	19	23
	23	28	13	11	58	42	17	9	19	27
	18	21	6	9	45	43	16	8	25	21
	32	23	12	7	57	36	14	15	15	22
	25	22	14	18	43	45	20	10	20	21
	15	20	14	15	45	33	17	8	11	30
	21	18	11	14	52	47	14	17	28	27
	32	21	12	11	59	45	26	9	29	22
	19	37	11	12	40	44	11	4	28	17
	20	33	14	16	51	34	15	11	20	26
	28	26	13	12	42	35	14	7	20	22
	15	21	12	14	54	29	13	11	25	23
	19	31	14	11	36	43	11	11	20	29
	28	38	7	9	40	30	15	14	14	19
	18	24	7	18	32	34	10	14	15	26
	22	22	15	12	22	29	11	9	16	17
	21	21	6	6	34	36	11	6	14	17
	20	30	11	10	35	22	4	5	21	22
	15	22	10	11	30	21	3	7	11	19
	20	29	9	8	29	27	7	8	13	13
	18	16	7	13	22	19	9	7	16	10
	20	13	8	7	19	20	8	7	10	14
	16	15	7	5	13	23	6		8	10
	24	23	2	8	14	13	2	3	14	16
	12	21	7	11	17	23	4	2	13	18
	23	16	8	7	20	18	3	3	19	20
	15	20	4	7	10	21	2	3	12	11
	13	17	5	2	14	18		2	11	11
	9	21	1	10	13	22	2		10	14
	10	22	5	8	8	19	5	3	5	11
	21	20	6	10	15	11	1	3	9	16
	15	26	2	7	7	13	4	3	6	12
	13	22	5	4	7	14		3	4	13
	7	15		10	8	10	2	2	7	6
	12	26	1	8	6	11		2	9	5
	11	10	3	2	4	9		2	5	12
	9	18		5	7	10			4	12
	4	17		6	5	8			7	12
	9	14	2	6	1	6	1	1	3	9
	4	24	1	9	3	8	1		4	11
	9	18	1	6		5			3	7
	7	16	6	3	2	3		1	3	9
	2	19	3	6		5	1		3	6
	4	14	2	8	2				1	6
	4	12	1	4	1	2		1		8
	3	10		5	1				2	6
		2		1					1	6
		8	1	4		1			1	1
		4				1			2	3
	1	2	1	1						
	1	1				1				2
		1								
	1	2								
