JAHR	Friedmattviertel	Kannenfeld	Landskron	Lysbüchel	Pestalozzi
2004	40.16	34.68	25.73	24.73	28.69
2005	40.15	33.89	25.29	23.02	28.45
2006	39.66	32.53	25.71	23.63	27.68
2007	40.64	32.92	26.52	23.37	27.37
2008	40.74	32.84	27.20	19.29	27.17
2009	40.26	34.12	27.39	18.33	27.63
2010	40.90	33.73	27.89	17.81	27.32
2011	40.84	34.93	27.59	15.41	27.21
2012	41.25	34.87	28.55	14.81	27.52
2013	41.17	34.76	28.25	15.65	27.41
2014	40.06	35.55	28.72	17.05	28.04
2015	39.83	36.27	30.00	17.93	28.63
2016	40.40	35.70	31.67	18.29	30.39
2017	39.94	35.26	31.99	18.60	30.02
2018	39.92	35.37	31.71	21.82	29.47
2019	39.95	33.09	32.12	23.27	29.41
2020	39.37	32.36	31.67	24.09	29.30
2021	35.94	31.90	31.93	22.91	29.22
2022	35.99	32.35	30.52	21.11	29.74
2023	36.57	32.32	29.97	19.22	29.70
