Steuerjahr	Mittelwert Friedmattviertel	Median Friedmattviertel	Mittelwert Kannenfeld	Median Kannenfeld	Mittelwert Landskron	Median Landskron	Mittelwert Lysbüchel	Median Lysbüchel	Mittelwert Pestalozzi	Median Pestalozzi
2005	55829	46207.5	58437	49335	43098	39450	38414	34787	47459	43012
2006	56720	46721.5	58106	48996	43000	39450	38524	34907	48580	43646
2007	58667	47680	57293	48164	44475	40919	40577	35801	49976	44444.5
2008	54438	44764.5	57637	46575.5	41994	38792	39972	31757	48361	42280
2009	54038	44503.5	56846	47193.5	42015	38312	40806	34606	49807	43318.5
2010	54614	44275	57537	46754	42263	38125	46291	39721	50535	43463
2011	55117	44052	56995	47452.5	42074	37057	49613	41874	50053	43719.5
2012	56404	45026.5	57993	47861	42282	37293	51726	41860	50751	44000
2013	56593	44479	59536	48731	42940	37636.5	57406	41629.5	52081	44194
2014	56350	43606	60195	47609	43383	37275	59739	43439.5	54347	45244
2015	56117	44371	59641	47145.5	43548	36907	64445	46717	54502	46033
2016	54917	42660	62042	48752	43554	36564.5	65439	45124	54589	45058
2017	55840	43011	63662	48769.5	43545	36402.5	63097	45529	56341	46901
2018	56602	43423	65621	47776	43664	36947	67412	47289.5	58337	47731
2019	57264	43000	67364	48985	45344	36883.5	64862	44554	57861	47113.5
2020	57382	42206	64448	49628	46597	37963	64990	45234	59171	46930
2021	57503	43683	65377	49166.5	48535	39469	63890	46420	60155	47301.5
