schuljahr	St. Johann: Schweiz	St. Johann: Ausland	St. Johann: Total	Stadt Basel: Schweiz	Stadt Basel: Ausland	Stadt Basel: Total
2010	47.59	21.85	39.47	45.61	17.07	33.67
2011	47.67	20.05	38.79	40.45	16.67	31.16
2012	46.11	18.23	37.05	44.69	11.67	31.44
2013	44.99	18.57	36.24	46.55	11.11	31.07
2014	45.07	21.62	37.12	46.47	14.18	31.83
2015	45.32	19.97	36.50	47.1	13.18	31.69
2016	49.57	22.51	40.53	48.75	20.69	36.96
2017	50.85	25.51	42.68	48.97	18.87	36.25
2018	47.57	22.64	39.31	48.55	18.75	36.32
2019	45.13	24.90	38.50	47.26	21.65	37.04
2020	44.93	23.08	37.61	38.51	15.63	30.37
2021	44.23	21.61	36.11	39.55	18.69	31.69
2022	42.68	22.82	35.72	42.7	20.63	33.76
2023	41.30	26.88	36.48	41.63	17.95	33.13
2024	42.12	26.83	36.73			
