"Jahr"	"Freiraumfläche Friedmatt"	"Anteil Freiraumfläche Friedmatt (rechte Skala)"	"Freiraumfläche Kannenfeld"	"Anteil Freiraumfläche Kannenfeld (rechte Skala)"	"Freiraumfläche Landskron"	"Anteil Freiraumfläche Landskron (rechte Skala)"	"Freiraumfläche Lysbüchel"	"Anteil Freiraumfläche Lysbüchel (rechte Skala)"	"Freiraumfläche Pestalozzi"	"Anteil Freiraumfläche Pestalozzi (rechte Skala)"
2008	80114	8.04	0	0	0	0	12081	1.66	22360	11.71
2009	80114	8.04	0	0	0	0	11634	1.60	22363	11.71
2010	80229	8.05	0	0	0	0	11863	1.63	22363	11.71
2011	80229	8.05	0	0	0	0	11843	1.63	22363	11.71
2012	80229	8.05	0	0	0	0	8819	1.21	21841	11.44
2013	80230	8.05	0	0	0	0	8805	1.21	21841	11.44
2014	73932	7.42	0	0	0	0	8805	1.21	21841	11.44
2015	73932	7.42	0	0	0	0	8805	1.21	21841	11.44
2016	73731	7.40	0	0	0	0	8805	1.21	21841	11.44
2017	73793	7.41	0	0	0	0	6280	0.86	21841	11.44
2018	73439	7.37	0	0	0	0	6280	0.86	21841	11.44
2019	73439	7.37	0	0	0	0	6280	0.86	21841	11.44
2020	73439	7.37	0	0	0	0	6280	0.86	21841	11.44
2021	73439	7.37	0	0	0	0	8805	1.21	21841	11.44
2022	73439	7.37	0	0	0	0	36139	4.97	21841	11.44
2023	73439	7.37	0	0	0	0	55211	7.59	21841	11.44

