""	"<25 Jahre"	"25-29 Jahre"	"30-34 Jahre"	"35-39 Jahre"	"50-54 Jahre"	">54 Jahre"	"40-44 Jahre"	"45-49 Jahre"
"2008-1"	1372	2746	3395	4699	3542	3633	5658	4902
"2008-2"	1441	2826	3478	4723	3622	3592	5779	5093
"2008-3"	1512	2748	3439	4523	3575	3452	5695	5029
"2008-4"	1450	2687	3351	4341	3537	3287	5574	4921
"2009-1"	1472	2664	3325	4307	3601	3428	5567	5003
"2009-2"	1494	2716	3345	4297	3660	3606	5619	5113
"2009-3"	1511	2733	3330	4231	3681	3699	5597	5152
"2009-4"	1543	2710	3310	4197	3757	3814	5605	5208
"2010-1"	1597	2798	3386	4232	3862	4004	5628	5360
"2010-2"	1635	2879	3477	4269	3967	4192	5607	5531
"2010-3"	1627	2895	3477	4242	3983	4251	5557	5575
"2010-4"	1528	2781	3449	4122	4031	4134	5454	5590
"2011-1"	1489	2749	3471	4056	4118	4163	5355	5553
"2011-2"	1526	2766	3555	4031	4200	4311	5328	5636
"2011-3"	1605	2853	3618	4015	4293	4434	5389	5662
"2011-4"	1582	2853	3624	4022	4374	4517	5265	5691
"2012-1"	1622	2874	3667	4009	4424	4512	5184	5703
"2012-2"	1632	2964	3749	4035	4553	4627	5224	5792
"2012-3"	1686	3005	3795	4048	4614	4700	5223	5880
"2012-4"	1645	2984	3797	4065	4629	4704	5142	5833
"2013-1"	1674	3039	3833	4073	4644	4668	5079	5853
"2013-2"	1730	3123	3877	4163	4749	4751	5085	5926
"2013-3"	1761	3147	3950	4245	4872	4769	5057	5973
"2013-4"	1692	3164	3951	4194	4877	4797	4955	5973
"2014-1"	1692	3206	3974	4200	4945	4861	4866	5933
"2014-2"	1749	3239	4034	4268	5062	5016	4892	5991
"2014-3"	1806	3244	4092	4323	5139	5164	4912	6000
"2014-4"	1767	3259	4022	4295	5178	5231	4842	5941
"2015-1"	1755	3296	4066	4313	5214	5275	4794	5901
"2015-2"	1763	3380	4079	4469	5304	5434	4767	5875
"2015-3"	1775	3417	4076	4511	5363	5487	4783	5868
"2015-4"	1666	3363	4022	4471	5431	5568	4684	5744
"2016-1"	1770	3549	4136	4493	5394	5859	4665	5608
"2016-2"	1738	3569	4111	4494	5463	6056	4662	5544
"2016-3"	1709	3582	4125	4565	5442	6251	4652	5558
"2016-4"	1677	3547	4151	4573	5449	6389	4669	5471
"2017-1"	1649	3483	4100	4573	5492	6587	4616	5407
"2017-2"	1631	3417	4114	4549	5521	6676	4626	5330
"2017-3"	1674	3477	4153	4590	5522	6625	4646	5243
"2017-4"	1702	3477	4139	4623	5559	6613	4635	5173

