Jahr-Halbjahr	Projektgesamtkosten der Umbauprojekte mit Schlagwort "Umbau/Sanierung/Renovation"	Projektgesamtkosten der betroffenen Umbauprojekte mit Schlagwort "Umbau/Sanierung/Renovation"	Projektgesamtkosten der nicht betroffenen Umbauprojekte mit Schlagwort "Umbau/Sanierung/Renovation"
2018-H1	104073017	76714228	27358789
2018-H2	138957985	103290999	35666986
2019-H1	124904096	71552966	53351130
2019-H2	71870279	52901957	18968322
2020-H1	130055203	94489135	35566068
2020-H2	100979915	81341630	19638285
2021-H1	203957284	150604140	53353144
2021-H2	226998210	182429500	44568710
2022-H1	230039031	194571298	35467733
2022-H2	74961563	50734661	24226902
2023-H1	50661882	23787840	26874042
2023-H2	148943178	109047286	39895892
2024-H1	78977813	48549813	30428000
2024-H2	58712971	37098595	21614376
