Jahr	Neubau	davon Genossenschaftswohnungen	Abbruch	Umbausaldo	Nettowohnungsproduktion	davon aus Arealentwicklungen
2005	301		-14	-72	215	109
2006	353		-134	-56	163	0
2007	120		-107	-74	-61	0
2008	201		-125	-28	48	0
2009	468		-150	-18	300	331
2010	372		-146	-18	208	166
2011	351		-58	18	311	99
2012	268		-26	28	270	0
2013	177	14	-41	35	171	0
2014	369	0	-53	180	496	200
2015	788	0	-178	25	635	603
2016	412	9	-75	106	443	242
2017	369	111	-59	54	364	75
2018	807	173	-114	67	760	337
2019	865	53	-186	158	837	581
2020	607	43	-154	219	672	292
2021	851	279	-96	222	977	617
2022	902	92	-138	405	1169	295
2023	778	321	-53	140	865	669
2024	151	41	-77	437	511	27
