Jahr	Gundeldingen	Anteil Gundeldingen an Kanton (rechte Skala)	Basel-Stadt
2001	20970	11.19	187436
2002	21002	11.17	188085
2003	21108	11.22	188079
2004	21100	11.19	188478
2005	21019	11.21	187463
2006	21000	11.21	187368
2007	21083	11.23	187684
2008	21362	11.29	189274
2009	21420	11.27	190045
2010	21203	11.14	190333
2011	21333	11.11	192076
2012	21459	11.09	193459
2013	21640	11.07	195459
2014	21747	11.07	196471
2015	21637	10.97	197204
2016	21694	10.95	198206
2017	21804	10.96	198988
2018	21807	10.89	200256
2019	21752	10.85	200407
2020	21870	10.83	201971
2021	21914	10.86	201805
2022	21972	10.74	204550
2023	22006	10.67	206308
2024	22250	10.72	207515

