	Angenehm	Eher angenehm	Eher unangenehm	Unangenehm	Weiss nicht	Keine Angabe
Total	201.65296	459.4071	534.74968	467.9442	33.56517	356.68089
Nettohaushaltseinkommen						
<3 000 Fr.	20.73164	41.71743	57.15992	59.41924	8.29616	5.97062
3 000-7 499 Fr.	64.44139	150.78835	216.95803	186.81818	4.12443	8.50927
>7 499 Fr.	86.81038	205.92706	203.45919	146.38599	5.24804	9.7786
Wahlkreis						
Grossbasel Ost	54.48166	136.15591	149.40669	120.37458	6.23696	87.18544
Grossbasel West	69.09451	156.26613	217.47201	181.82826	6.22341	126.39669
Kleinbasel	45.35033	92.0711	110.66177	120.75063	16.70922	101.48236
Riehen, Bettingen	32.72646	74.91396	57.2092	44.99073	4.39558	41.6164

