Jahr	Grünfläche	Verkehrsfläche	Gebäude	Gewässer	Übrige befestigte Flächen	nicht zugeordnet
2002	6289198	5398008	5531678	207738	3582009	
2003	6321939	5345331	5549141	148576	3643789	
2004	6333090	5326959	5561192	135614	3651919	
2005	6366843	5321193	5477222	135849	3707153	
2006	6401643	5322809	5419296	136460	3728047	
2007	6428838	5328572	5389340	135929	3725111	
2008	6409160	5375076	5244236	137127	3843182	
2009	6409632	5372403	5245688	136637	3844418	
2010	6416042	5386742	5307269	136642	3762035	
2011	6441078	5372387	5301612	136668	3757034	
2012	6453312	5362222	5278896	136344	3778007	
2013	6527505	5294195	5260345	136332	3790411	
2014	6549324	5250763	5249349	136208	3823282	
2015	6537944	5263172	5250178	136227	3821405	
2016	6572747	5262642	5258704	136242	3778591	
2017	6694971	5161201	5260265	136245	3756244	
2018	6708530	5163425	5261024	136390	3739556	
2019	6719007	5155520	5270814	136038	3727547	
2020	6706123	5157253	5259179	136507	3749863	
2021	6754742	5108884	5274257	144483	3722441	4120
2022	6733966	5094222	5282533	144483	3749602	4120
2023	6736710	5133054	5304315	144462	3686265	4120
2024	6741832	5134147	5321215	144525	3663086	4120
