""	"Jahr"	"Monat"	"15-24 Jahre"	"ab 50 Jahre"	"Total"
"2008-01"	2008	"Januar"	0.034	0.027	0.031
"2008-02"	2008	"Februar"	0.035	0.026	0.031
"2008-03"	2008	"März"	0.033	0.026	0.030
"2008-04"	2008	"April"	0.031	0.025	0.028
"2008-05"	2008	"Mai"	0.030	0.026	0.028
"2008-06"	2008	"Juni"	0.033	0.026	0.029
"2008-07"	2008	"Juli"	0.037	0.025	0.029
"2008-08"	2008	"August"	0.037	0.024	0.028
"2008-09"	2008	"September"	0.039	0.024	0.029
"2008-10"	2008	"Oktober"	0.039	0.026	0.030
"2008-11"	2008	"November"	0.041	0.026	0.031
"2008-12"	2008	"Dezember"	0.041	0.029	0.034
"2009-01"	2009	"Januar"	0.042	0.029	0.035
"2009-02"	2009	"Februar"	0.042	0.030	0.035
"2009-03"	2009	"März"	0.040	0.029	0.036
"2009-04"	2009	"April"	0.040	0.028	0.036
"2009-05"	2009	"Mai"	0.040	0.029	0.036
"2009-06"	2009	"Juni"	0.043	0.030	0.037
"2009-07"	2009	"Juli"	0.050	0.030	0.038
"2009-08"	2009	"August"	0.051	0.029	0.038
"2009-09"	2009	"September"	0.055	0.030	0.039
"2009-10"	2009	"Oktober"	0.056	0.031	0.041
"2009-11"	2009	"November"	0.054	0.033	0.041
"2009-12"	2009	"Dezember"	0.056	0.034	0.044
"2010-01"	2010	"Januar"	0.073	0.033	0.047
"2010-02"	2010	"Februar"	0.069	0.032	0.046
"2010-03"	2010	"März"	0.064	0.031	0.044
"2010-04"	2010	"April"	0.061	0.031	0.042
"2010-05"	2010	"Mai"	0.058	0.031	0.041
"2010-06"	2010	"Juni"	0.055	0.030	0.040
"2010-07"	2010	"Juli"	0.059	0.030	0.040
"2010-08"	2010	"August"	0.064	0.030	0.040
"2010-09"	2010	"September"	0.062	0.030	0.040
"2010-10"	2010	"Oktober"	0.061	0.030	0.040
"2010-11"	2010	"November"	0.060	0.029	0.040
"2010-12"	2010	"Dezember"	0.060	0.031	0.042
"2011-01"	2011	"Januar"	0.064	0.031	0.043
"2011-02"	2011	"Februar"	0.061	0.030	0.042
"2011-03"	2011	"März"	0.057	0.031	0.041
"2011-04"	2011	"April"	0.049	0.028	0.036
"2011-05"	2011	"Mai"	0.046	0.028	0.035
"2011-06"	2011	"Juni"	0.043	0.029	0.034
"2011-07"	2011	"Juli"	0.048	0.028	0.034
"2011-08"	2011	"August"	0.053	0.027	0.034
"2011-09"	2011	"September"	0.054	0.027	0.035
"2011-10"	2011	"Oktober"	0.052	0.027	0.035
"2011-11"	2011	"November"	0.045	0.027	0.035
"2011-12"	2011	"Dezember"	0.046	0.029	0.037
"2012-01"	2012	"Januar"	0.046	0.030	0.038
"2012-02"	2012	"Februar"	0.047	0.030	0.039
"2012-03"	2012	"März"	0.044	0.029	0.037
"2012-04"	2012	"April"	0.041	0.029	0.037
"2012-05"	2012	"Mai"	0.038	0.029	0.036
"2012-06"	2012	"Juni"	0.037	0.027	0.034
"2012-07"	2012	"Juli"	0.042	0.027	0.034
"2012-08"	2012	"August"	0.050	0.027	0.034
"2012-09"	2012	"September"	0.050	0.027	0.035
"2012-10"	2012	"Oktober"	0.050	0.028	0.036
