"Datum"	"Jahr"	"Monat"	"Schweiz"	"EU15EFTA"	"EU seit 2004"	"Drittstaaten"	"FEHLER"
"2008-01"	2008	"Januar"	1607	522	38	907	0
"2008-02"	2008	"Februar"	1582	527	43	904	0
"2008-03"	2008	"März"	1527	495	46	849	0
"2008-04"	2008	"April"	1470	467	36	808	0
"2008-05"	2008	"Mai"	1474	463	34	788	0
"2008-06"	2008	"Juni"	1468	478	36	814	0
"2008-07"	2008	"Juli"	1508	490	36	790	0
"2008-08"	2008	"August"	1483	480	33	780	0
"2008-09"	2008	"September"	1507	507	32	794	0
"2008-10"	2008	"Oktober"	1533	511	31	838	0
"2008-11"	2008	"November"	1589	565	34	887	0
"2008-12"	2008	"Dezember"	1673	666	33	963	0
"2009-01"	2009	"Januar"	1694	711	34	963	0
"2009-02"	2009	"Februar"	1690	746	28	951	0
"2009-03"	2009	"März"	1786	734	40	948	0
"2009-04"	2009	"April"	1812	702	42	929	0
"2009-05"	2009	"Mai"	1790	695	44	967	0
"2009-06"	2009	"Juni"	1867	698	52	1012	0
"2009-07"	2009	"Juli"	1977	715	53	985	0
"2009-08"	2009	"August"	1925	722	54	990	0
"2009-09"	2009	"September"	1983	753	52	1037	0
"2009-10"	2009	"Oktober"	2066	777	56	1093	0
"2009-11"	2009	"November"	2070	803	56	1123	0
"2009-12"	2009	"Dezember"	2149	915	60	1198	0
"2010-01"	2010	"Januar"	2193	956	58	1209	0
"2010-02"	2010	"Februar"	2110	935	54	1181	0
"2010-03"	2010	"März"	2077	876	49	1141	0
"2010-04"	2010	"April"	2018	804	49	1117	0
"2010-05"	2010	"Mai"	1994	795	42	1046	0
"2010-06"	2010	"Juni"	1937	754	43	1000	0
"2010-07"	2010	"Juli"	1986	756	44	962	0
"2010-08"	2010	"August"	2007	758	43	979	0
"2010-09"	2010	"September"	2011	778	43	945	0
"2010-10"	2010	"Oktober"	1963	745	51	961	0
"2010-11"	2010	"November"	1906	782	46	995	0
"2010-12"	2010	"Dezember"	1927	882	52	1066	0
"2011-01"	2011	"Januar"	1966	894	59	1107	0
"2011-02"	2011	"Februar"	1945	862	57	1059	0
"2011-03"	2011	"März"	1898	859	51	1023	0
"2011-04"	2011	"April"	1685	786	52	824	0
"2011-05"	2011	"Mai"	1670	729	53	801	0
"2011-06"	2011	"Juni"	1640	707	48	794	0
"2011-07"	2011	"Juli"	1666	704	47	782	0
"2011-08"	2011	"August"	1679	707	50	786	0
"2011-09"	2011	"September"	1691	713	51	794	0
"2011-10"	2011	"Oktober"	1668	719	55	805	0
"2011-11"	2011	"November"	1675	726	61	827	0
"2011-12"	2011	"Dezember"	1700	799	64	875	0
"2012-01"	2012	"Januar"	1775	850	65	909	0
"2012-02"	2012	"Februar"	1776	861	62	927	0
"2012-03"	2012	"März"	1743	820	63	900	0
"2012-04"	2012	"April"	1717	817	60	870	0
"2012-05"	2012	"Mai"	1728	780	62	851	0
"2012-06"	2012	"Juni"	1657	732	58	789	0
"2012-07"	2012	"Juli"	1704	697	63	764	0
"2012-08"	2012	"August"	1710	687	66	776	0
"2012-09"	2012	"September"	1748	696	68	795	0
"2012-10"	2012	"Oktober"	1752	777	65	807	0
"2012-11"	2012	"November"	1744	810	69	845	0
"2012-12"	2012	"Dezember"	1816	903	84	899	0
"2013-01"	2013	"Januar"	1889	955	85	924	0
"2013-02"	2013	"Februar"	1859	947	77	907	0
"2013-03"	2013	"März"	1785	924	82	896	0
"2013-04"	2013	"April"	1753	849	81	852	0
"2013-05"	2013	"Mai"	1699	795	82	814	0
"2013-06"	2013	"Juni"	1613	781	86	797	0
"2013-07"	2013	"Juli"	1682	776	89	774	0
"2013-08"	2013	"August"	1685	777	86	767	0
"2013-09"	2013	"September"	1705	759	88	796	0
"2013-10"	2013	"Oktober"	1683	790	89	810	0
"2013-11"	2013	"November"	1691	844	90	837	0
"2013-12"	2013	"Dezember"	1750	959	96	889	0
"2014-01"	2014	"Januar"	1725	986	109	894	0
"2014-02"	2014	"Februar"	1717	966	106	855	0
"2014-03"	2014	"März"	1683	909	108	851	0
"2014-04"	2014	"April"	1655	843	110	798	0
"2014-05"	2014	"Mai"	1588	779	93	746	0
"2014-06"	2014	"Juni"	1557	728	89	716	0
"2014-07"	2014	"Juli"	1559	731	98	719	0
"2014-08"	2014	"August"	1559	730	88	729	0
"2014-09"	2014	"September"	1571	745	97	760	0
"2014-10"	2014	"Oktober"	1567	825	92	763	0
"2014-11"	2014	"November"	1629	923	98	785	0
"2014-12"	2014	"Dezember"	1647	1038	108	876	0
"2015-01"	2015	"Januar"	1760	1079	117	897	0
"2015-02"	2015	"Februar"	1715	1056	122	873	0
"2015-03"	2015	"März"	1722	1017	126	868	0
"2015-04"	2015	"April"	1683	975	122	841	0
"2015-05"	2015	"Mai"	1632	934	117	835	0
"2015-06"	2015	"Juni"	1643	874	126	822	0
"2015-07"	2015	"Juli"	1644	834	117	777	0
"2015-08"	2015	"August"	1742	829	115	772	0
"2015-09"	2015	"September"	1771	889	120	813	0
"2015-10"	2015	"Oktober"	1738	905	126	832	0
"2015-11"	2015	"November"	1721	968	132	857	0
"2015-12"	2015	"Dezember"	1707	1014	150	910	0
"2016-01"	2016	"Januar"	1760	1106	149	932	0
"2016-02"	2016	"Februar"	1820	1116	166	960	0
"2016-03"	2016	"März"	1778	1079	164	914	0
"2016-04"	2016	"April"	1809	1071	185	919	0
"2016-05"	2016	"Mai"	1782	1016	186	872	0
"2016-06"	2016	"Juni"	1731	987	173	831	0
"2016-07"	2016	"Juli"	1683	937	173	806	0
"2016-08"	2016	"August"	1766	927	165	807	0
"2016-09"	2016	"September"	1764	923	170	792	0
"2016-10"	2016	"Oktober"	1778	922	177	800	0
"2016-11"	2016	"November"	1790	1046	183	839	0
"2016-12"	2016	"Dezember"	1789	1154	205	884	0
"2017-01"	2017	"Januar"	1849	1221	198	913	0
"2017-02"	2017	"Februar"	1798	1151	198	928	0
"2017-03"	2017	"März"	1813	1093	198	888	0
