Datum	Industrie (exkl. Chemie, Pharma)	Chemie, Pharma	Baugewerbe
2008 Jan.	244	30	349
2008 Feb.	237	34	330
2008 Mär.	230	36	276
2008 Apr.	232	35	247
2008 Mai	225	32	238
2008 Jun.	222	35	242
2008 Jul.	219	33	222
2008 Aug.	219	31	213
2008 Sept.	237	35	222
2008 Okt.	243	35	266
2008 Nov.	241	35	370
2008 Dez.	279	43	474
2009 Jan.	292	44	486
2009 Feb.	301	41	479
2009 Mär.	317	41	465
2009 Apr.	338	39	396
2009 Mai	351	37	370
2009 Jun.	353	49	332
2009 Jul.	348	50	275
2009 Aug.	308	59	265
2009 Sept.	328	55	275
2009 Okt.	341	51	287
2009 Nov.	336	55	294
2009 Dez.	337	71	314
2010 Jan.	328	76	320
2010 Feb.	317	77	331
2010 Mär.	309	82	286
2010 Apr.	289	82	259
2010 Mai	293	82	240
2010 Jun.	277	84	220
2010 Jul.	264	80	188
2010 Aug.	238	81	180
2010 Sept.	223	74	170
2010 Okt.	215	67	160
2010 Nov.	221	72	173
2010 Dez.	215	77	209
2011 Jan.	217	85	224
2011 Feb.	213	88	235
2011 Mär.	217	88	222
2011 Apr.	189	75	188
2011 Mai	182	81	193
2011 Jun.	177	88	193
2011 Jul.	203	98	171
2011 Aug.	195	96	177
2011 Sept.	208	105	186
2011 Okt.	215	102	215
2011 Nov.	215	107	292
2011 Dez.	234	116	419
2012 Jan.	258	118	498
2012 Feb.	278	119	521
2012 Mär.	265	110	464
2012 Apr.	248	113	397
2012 Mai	247	121	329
2012 Jun.	233	114	272
2012 Jul.	241	119	233
2012 Aug.	240	118	199
2012 Sept.	240	125	197
2012 Okt.	248	135	238
2012 Nov.	273	128	305
2012 Dez.	287	128	473
2013 Jan.	315	124	504
2013 Feb.	309	119	478
2013 Mär.	297	122	423
2013 Apr.	289	116	355
2013 Mai	302	102	297
2013 Jun.	290	97	260
2013 Jul.	278	97	228
2013 Aug.	277	97	213
2013 Sept.	276	94	227
2013 Okt.	261	107	261
2013 Nov.	278	108	355
2013 Dez.	289	120	485
2014 Jan.	299	130	486
2014 Feb.	299	126	448
2014 Mär.	282	120	412
2014 Apr.	276	129	346
2014 Mai	259	125	285
2014 Jun.	236	119	238
2014 Jul.	230	120	222
2014 Aug.	242	114	214
2014 Sept.	245	126	241
2014 Okt.	249	129	301
2014 Nov.	252	128	418
2014 Dez.	255	122	595
2015 Jan.	270	133	597
2015 Feb.	268	143	565
2015 Mär.	266	141	533
2015 Apr.	263	144	458
2015 Mai	258	141	387
2015 Jun.	259	144	327
2015 Jul.	233	148	292
2015 Aug.	238	144	284
2015 Sept.	249	132	304
2015 Okt.	246	134	355
2015 Nov.	244	138	462
2015 Dez.	240	143	563
2016 Jan.	277	144	601
2016 Feb.	290	136	581
2016 Mär.	289	132	542
2016 Apr.	302	142	512
2016 Mai	302	140	446
2016 Jun.	294	137	407
2016 Jul.	301	140	336
2016 Aug.	319	137	311
2016 Sept.	303	141	315
2016 Okt.	311	147	327
2016 Nov.	300	147	434
2016 Dez.	326	150	580
2017 Jan.	330	138	618
2017 Feb.	313	133	544
2017 Mär.	297	130	485
2017 Apr.	287	131	414
2017 Mai	240	121	354
2017 Jun.	236	113	311
2017 Jul.	226	109	270
2017 Aug.	229	111	281
2017 Sept.	210	98	254
2017 Okt.	217	107	286
2017 Nov.	217	107	370
2017 Dez.	232	105	504
