"Datum"	"Jahr"	"Monat"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
"2008-01"	2008	"Januar"	506	181	442	79
"2008-02"	2008	"Februar"	503	187	432	72
"2008-03"	2008	"März"	483	196	417	65
"2008-04"	2008	"April"	472	181	389	60
"2008-05"	2008	"Mai"	464	181	397	61
"2008-06"	2008	"Juni"	478	177	396	60
"2008-07"	2008	"Juli"	483	180	393	62
"2008-08"	2008	"August"	483	160	392	61
"2008-09"	2008	"September"	498	155	404	63
"2008-10"	2008	"Oktober"	514	180	406	51
"2008-11"	2008	"November"	533	201	410	55
"2008-12"	2008	"Dezember"	551	212	436	63
"2009-01"	2009	"Januar"	574	234	428	68
"2009-02"	2009	"Februar"	599	256	413	73
"2009-03"	2009	"März"	602	286	434	68
"2009-04"	2009	"April"	612	302	461	68
"2009-05"	2009	"Mai"	623	299	479	72
"2009-06"	2009	"Juni"	606	294	485	76
"2009-07"	2009	"Juli"	587	282	504	89
"2009-08"	2009	"August"	578	289	479	93
"2009-09"	2009	"September"	539	297	468	98
"2009-10"	2009	"Oktober"	525	293	481	91
"2009-11"	2009	"November"	509	278	468	89
"2009-12"	2009	"Dezember"	508	272	482	87
"2010-01"	2010	"Januar"	511	271	463	76
"2010-02"	2010	"Februar"	482	262	439	74
"2010-03"	2010	"März"	467	245	440	74
"2010-04"	2010	"April"	450	234	422	74
"2010-05"	2010	"Mai"	416	222	416	79
"2010-06"	2010	"Juni"	413	211	381	75
"2010-07"	2010	"Juli"	403	189	396	74
"2010-08"	2010	"August"	408	176	395	74
"2010-09"	2010	"September"	391	171	399	72
"2010-10"	2010	"Oktober"	373	157	401	72
"2010-11"	2010	"November"	348	147	383	78
"2010-12"	2010	"Dezember"	340	126	376	76
"2011-01"	2011	"Januar"	354	134	381	71
"2011-02"	2011	"Februar"	336	143	375	71
"2011-03"	2011	"März"	326	136	360	70
"2011-04"	2011	"April"	287	129	325	61
"2011-05"	2011	"Mai"	297	124	331	59
"2011-06"	2011	"Juni"	308	134	336	66
"2011-07"	2011	"Juli"	327	138	331	62
"2011-08"	2011	"August"	335	145	348	62
"2011-09"	2011	"September"	333	143	356	70
"2011-10"	2011	"Oktober"	340	150	367	73
"2011-11"	2011	"November"	348	154	371	73
"2011-12"	2011	"Dezember"	351	160	358	73
"2012-01"	2012	"Januar"	369	168	352	69
"2012-02"	2012	"Februar"	385	168	353	68
"2012-03"	2012	"März"	356	181	351	73
"2012-04"	2012	"April"	363	183	350	81
"2012-05"	2012	"Mai"	358	189	360	83
"2012-06"	2012	"Juni"	348	171	340	83
"2012-07"	2012	"Juli"	359	167	339	83
"2012-08"	2012	"August"	381	168	338	81
"2012-09"	2012	"September"	398	180	357	74
"2012-10"	2012	"Oktober"	396	186	377	68
"2012-11"	2012	"November"	391	187	388	67
"2012-12"	2012	"Dezember"	404	209	369	65
"2013-01"	2013	"Januar"	430	208	387	76
"2013-02"	2013	"Februar"	423	204	398	77
"2013-03"	2013	"März"	414	203	386	74
"2013-04"	2013	"April"	413	208	351	70
"2013-05"	2013	"Mai"	391	196	344	85
"2013-06"	2013	"Juni"	386	197	344	80
