Datum	BS	BL	AG	ZH
2008 Jan.	0.031	0.024	0.025	0.027
2008 Feb.	0.031	0.023	0.024	0.026
2008 Mär.	0.03	0.022	0.024	0.025
2008 Apr.	0.028	0.022	0.023	0.024
2008 Mai	0.028	0.021	0.022	0.023
2008 Jun.	0.029	0.021	0.021	0.022
2008 Jul.	0.029	0.021	0.021	0.023
2008 Aug.	0.028	0.022	0.022	0.023
2008 Sept.	0.029	0.021	0.022	0.023
2008 Okt.	0.03	0.022	0.022	0.024
2008 Nov.	0.031	0.023	0.024	0.025
2008 Dez.	0.034	0.025	0.026	0.028
2009 Jan.	0.035	0.027	0.029	0.03
2009 Feb.	0.035	0.029	0.03	0.032
2009 Mär.	0.036	0.03	0.031	0.033
2009 Apr.	0.036	0.031	0.032	0.034
2009 Mai	0.036	0.032	0.031	0.033
2009 Jun.	0.037	0.034	0.033	0.036
2009 Jul.	0.038	0.035	0.034	0.038
2009 Aug.	0.038	0.035	0.036	0.039
2009 Sept.	0.039	0.036	0.037	0.04
2009 Okt.	0.041	0.036	0.037	0.042
2009 Nov.	0.041	0.037	0.038	0.043
2009 Dez.	0.044	0.039	0.039	0.044
2010 Jan.	0.047	0.037	0.036	0.041
2010 Feb.	0.046	0.037	0.036	0.04
2010 Mär.	0.044	0.035	0.035	0.04
2010 Apr.	0.042	0.034	0.033	0.038
2010 Mai	0.041	0.033	0.032	0.036
2010 Jun.	0.04	0.032	0.03	0.035
2010 Jul.	0.04	0.032	0.03	0.034
2010 Aug.	0.04	0.032	0.03	0.034
2010 Sept.	0.04	0.031	0.029	0.033
2010 Okt.	0.04	0.031	0.028	0.032
2010 Nov.	0.04	0.032	0.029	0.033
2010 Dez.	0.042	0.033	0.03	0.033
2011 Jan.	0.043	0.032	0.03	0.034
2011 Feb.	0.042	0.031	0.029	0.033
2011 Mär.	0.041	0.03	0.028	0.032
2011 Apr.	0.036	0.028	0.025	0.029
2011 Mai	0.035	0.026	0.024	0.027
2011 Jun.	0.034	0.026	0.023	0.026
2011 Jul.	0.034	0.025	0.023	0.026
2011 Aug.	0.034	0.025	0.024	0.026
2011 Sept.	0.035	0.026	0.024	0.026
2011 Okt.	0.035	0.025	0.024	0.027
2011 Nov.	0.035	0.026	0.026	0.028
2011 Dez.	0.037	0.028	0.027	0.029
2012 Jan.	0.038	0.029	0.029	0.03
2012 Feb.	0.039	0.029	0.028	0.031
2012 Mär.	0.037	0.028	0.027	0.03
2012 Apr.	0.037	0.028	0.027	0.029
2012 Mai	0.036	0.027	0.026	0.029
2012 Jun.	0.034	0.027	0.025	0.028
2012 Jul.	0.034	0.026	0.025	0.028
2012 Aug.	0.034	0.026	0.026	0.029
2012 Sept.	0.035	0.025	0.026	0.029
2012 Okt.	0.036	0.026	0.026	0.03
2012 Nov.	0.037	0.027	0.028	0.031
2012 Dez.	0.039	0.028	0.03	0.033
2013 Jan.	0.041	0.029	0.031	0.034
2013 Feb.	0.04	0.028	0.031	0.033
2013 Mär.	0.039	0.028	0.029	0.032
2013 Apr.	0.038	0.028	0.029	0.032
2013 Mai	0.036	0.027	0.028	0.031
2013 Jun.	0.035	0.026	0.026	0.03
2013 Jul.	0.035	0.026	0.027	0.031
2013 Aug.	0.035	0.026	0.027	0.031
2013 Sept.	0.036	0.025	0.027	0.031
2013 Okt.	0.036	0.026	0.028	0.031
2013 Nov.	0.037	0.027	0.029	0.033
2013 Dez.	0.039	0.028	0.031	0.035
2014 Jan.	0.037	0.028	0.031	0.034
2014 Feb.	0.037	0.028	0.03	0.034
2014 Mär.	0.036	0.028	0.029	0.033
2014 Apr.	0.034	0.028	0.028	0.032
2014 Mai	0.032	0.026	0.026	0.03
2014 Jun.	0.031	0.026	0.026	0.03
2014 Jul.	0.031	0.026	0.026	0.03
2014 Aug.	0.031	0.025	0.026	0.03
2014 Sept.	0.032	0.025	0.027	0.031
2014 Okt.	0.033	0.025	0.027	0.031
2014 Nov.	0.035	0.026	0.028	0.032
2014 Dez.	0.037	0.027	0.03	0.034
2015 Jan.	0.039	0.028	0.031	0.035
2015 Feb.	0.038	0.027	0.031	0.035
2015 Mär.	0.038	0.027	0.03	0.034
2015 Apr.	0.037	0.027	0.029	0.034
2015 Mai	0.035	0.027	0.029	0.033
2015 Jun.	0.035	0.026	0.028	0.033
2015 Jul.	0.034	0.027	0.029	0.033
2015 Aug.	0.035	0.026	0.029	0.033
2015 Sept.	0.036	0.027	0.029	0.033
2015 Okt.	0.036	0.027	0.03	0.034
2015 Nov.	0.037	0.029	0.031	0.036
2015 Dez.	0.038	0.031	0.033	0.037
2016 Jan.	0.04	0.031	0.034	0.038
2016 Feb.	0.041	0.031	0.034	0.038
2016 Mär.	0.04	0.031	0.033	0.038
2016 Apr.	0.04	0.03	0.032	0.036
2016 Mai	0.039	0.029	0.031	0.036
2016 Jun.	0.038	0.03	0.03	0.035
2016 Jul.	0.036	0.029	0.03	0.035
2016 Aug.	0.037	0.03	0.03	0.035
2016 Sept.	0.037	0.03	0.03	0.036
2016 Okt.	0.037	0.029	0.031	0.036
2016 Nov.	0.039	0.03	0.032	0.037
2016 Dez.	0.041	0.031	0.033	0.038
2017 Jan.	0.042	0.031	0.035	0.039
2017 Feb.	0.041	0.031	0.034	0.039
2017 Mär.	0.04	0.031	0.033	0.038
