Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	90.5660377358491	91.5343915343915	76.8041237113402	87.280701754386	94.1634241245136	95.5645161290323	93.3920704845815	93.3070866141732	89.7035881435257	91.5254237288136	90.6960227272727
2005	90.4340836012862	87.4371859296482	78.6046511627907	88	89.0845070422535	91.3725490196078	96.0526315789474	96.1864406779661	88.5416666666667	91.3099870298314	90.02079002079
2007	91.0883280757098	86.3905325443787	79.0476190476191	86.7052023121387	90.3930131004367	92.4812030075188	95.1807228915663	95.1612903225807	89.2911010558069	91.6020671834625	90.53583855254
2011	93.2324840764331	91.8269230769231	87.5	85.6287425149701	94.017094017094	94.3181818181818	94.5736434108527	96.4383561643836	91.2844036697248	94.4444444444444	93.0327868852459
2015	94.8840927258193	93.4131736526946	88.0434782608696	90.4347826086957	93.0635838150289	92.7756653992395	96.8152866242038	97.3969631236443	93.8080495356037	95.4663212435233	94.7108603667137
2003_n	1219	189	194	228	257	248	227	254	641	767	1408
2005_n	1244	199	215	225	284	255	228	236	672	771	1443
2007_n	1268	169	210	173	229	266	249	310	663	774	1437
2011_n	1256	208	176	167	234	264	258	365	654	810	1464
2015_n	1251	167	92	115	173	263	314	461	646	772	1418
