Jahr	Innenstadt	Am Ring West	St. Alban Breite	St. Johann	Gundeldingen	Bruderholz	Unteres Kleinbasel	Oberes Kleinbasel	Riehen/ Bettingen	Basel-Stadt
2003	71.830985915492	80.878552971576	77.777777777777	78.504672897196	81.884057971014	79.761904761904	78.977272727272	75.735294117647	81.22270742358	79.347826086956
2005	84.946236559139	82.5	87.074829931972	79.824561403508	85.95041322314	84.615384615384	74.585635359116	77.87610619469	83.076923076923	82.073578595317
2007	67.948717948717	73.383084577114	70.625	73.394495412844	85.714285714285	79.310344827586	72.043010752688	83.088235294117	75.862068965517	75.252185608607
2011	72.727272727272	78.983833718244	80	83.333333333333	80.672268907563	75.531914893617	73.480662983425	80.90909090909	81.739130434782	78.936877076411
2015	77.941176470588	77.339901477832	69.182389937106	82.5	80.165289256198	75.229357798165	71.621621621621	79.06976744186	81.140350877192	77.150537634408
2003_n	71	387	144	107	138	84	176	136	229	1472
2005_n	93	440	147	114	121	91	181	113	195	1495
2007_n	78	402	160	109	126	87	186	136	203	1487
2011_n	66	433	170	102	119	94	181	110	230	1505
2015_n	68	406	159	120	121	109	148	129	228	1488
