Jahr	Allgemeine Verwaltung	Öffentliche Ordnung und Sicherheit	Bildung	Kultur, Sport und Freizeit, Kirche	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz und Raumordnung	Volkswirtschaft	Finanzen und Steuern
2005	259338.62191	360232.22691	1195306.78675	194186.12158	1009222.56998	765701.64169	253656.44078	76993.08411	21502.71745	138785.78856
2006	161398.09777	371151.10991	1111917.95636	198671.33342	1029408.74724	795956.18791	276459.52057	73133.1802	23100.44446	161805.33551
2007	1179435.08422	382992.84989	2204775.98316	213878.13993	1050935.24944	806444.93001	206851.52049	84648.5075	26697.84487	168301.69576
2008	797215.542835937	353325.001375	1110294.05822656	246449.016289063	589784.36374707	717050.862332031	151203.202972656	116395.74321875	45388.0658212891	264176.653414063
2009	194841.958387695	335943.401054688	1154741.30078271	223172.974671875	648018.727380859	769345.103876953	127780.583808594	91412.2430664063	85261.3471875	270154.830412109
2010	385191.766328125	346630.295	1184172.474	231160.1609375	633401.121765625	793271.707246094	125163.212761719	94954.6177617188	140127.811042969	256127.724048828
2011	366745.28084375	364193.531421875	1217027.01471094	241939.869359375	649368.992197266	832572.572572266	126353.686646484	96337.8903046875	34587.2381035156	271833.154935547
2012	217976.138109375	385150.439835938	1319787.10384766	264909.413875	885054.133893555	884793.730359375	177960.928742188	87396.976296875	17048.4734624023	269099.17925
2013	248758.627162498	419096.730856445	1375752.29982343	251703.164793945	605162.011183594	895984.997314688	310715.142209373	85640.710015625	16641.7515805664	338362.179480469
2014	286025.1903125	426340.827324951	1458365.40435529	285867.908328857	607409.947078125	963077.786725586	252068.035892189	82268.0679121094	23592.4026621094	323288.102703125
