jahr	Schweiz	Ausland	Kanton Basel-Stadt	Anz Gym Schweizer	Anz Gym Ausländer	Anz Gym Total	Schweizer Schüler Total	Ausländer Schüler Total	Schüler Total
2006	45.652173913043	15.339233038348	35.665694849368	945	156	1101	2070	1017	3087
2007	45.59733460257	18.302094818081	37.367021276595	958	166	1124	2101	907	3008
2008	46.098929117797	20.649651972157	38.328019837052	904	178	1082	1961	862	2823
2009	47.300771208226	20.506634499396	39.293439077144	920	170	1090	1945	829	2774
2010	48.024316109422	24.47204968944	41.201871176682	948	197	1145	1974	805	2779
2011	48.383786557208	22.850412249705	40.636168691922	943	194	1137	1949	849	2798
2012	46.892655367231	20.673635307781	38.853276353276	913	178	1091	1947	861	2808
2013	45.996860282574	21.328671328671	38.353196099674	879	183	1062	1911	858	2769
2014	46.489361702127	24.599542334096	39.54248366013	874	215	1089	1880	874	2754
2015	46.820483961733	23.111612175873	38.926426426426	832	205	1037	1777	887	2664
