Jahr	Deutschland	Italien	Türkei	Mazedonien	Serbien Montenegro, Kosovo	Schweiz	Gym_Deutsche	Schueler_Deutsche	Gym_Tuerken	Schueler_Tuerken	Gym_Schweizer	Schueler_Schweizer	Gym_Mazedonien	Schueler_Mazedonien	Gym_SerbMontKos	Schueler_SerbMontKos
2005	64.814814814814	11.538461538461	3.77358490566	8.695652173913	5.524861878453	43.333333333333	35	54	8	212	871	2010	8	92	10	181
2006	62.745098039215	13.533834586466	6.75105485232	12.5	7.070707070707	45.652173913043	32	51	16	237	945	2070	10	80	14	198
2007	65.51724137931	11.009174311926	12.162162162162	3.571428571428	11.627906976744	45.59733460257	38	58	27	222	958	2101	2	56	20	172
2008	70.76923076923	15.094339622641	11.398963730569	5.263157894736	14.556962025316	46.098929117797	46	65	22	193	904	1961	3	57	23	158
2009	71.929824561403	18.095238095238	12.280701754385	1.666666666666	13.013698630136	47.300771208226	41	57	21	171	920	1945	1	60	19	146
2010	69.841269841269	22.471910112359	13.496932515337	5.084745762711	13.076923076923	48.024316109422	44	63	22	163	948	1974	3	59	17	130
2011	67.532467532467	15.95744680851	9.356725146198	10	13.970588235294	48.383786557208	52	77	16	171	943	1949	5	50	19	136
2012	65.882352941176	12.5	9.696969696969	10.204081632653	7.462686567164	46.892655367231	56	85	16	165	913	1947	5	49	10	134
2013	64.285714285714	10.78431372549	8.75	11.320754716981	10.434782608695	45.996860282574	54	84	14	160	879	1911	6	53	12	115
2014	55.31914893617	18.64406779661	11.464968152866	16.981132075471	9.574468085106	46.489361702127	52	94	18	157	874	1880	9	53	9	94
2015	55.75221238938	20.408163265306	11.428571428571	17.307692307692	9.890109890109	46.820483961733	63	113	20	175	832	1777	9	52	9	91
2016	21.782178217821	17.391304347826	9.090909090909	5.263157894736	3.191489361702	25.207296849087	22	101	15	165	456	1809	3	57	3	94
