jahr	 AOX pro Einwohner und Beschäftigte	 AOX pro Einwohner	AOX kg/J	Einwohner	Beschäftigte
2006	6.72305488247142	12.8503712025944	2421.53679978809	188441	171743
2007	4.81183224671618	9.19981997874141	1732.62049623633	188332	171743
2008	4.13696296599013	8.03887519608206	1519.9905220752	189080	178337
2009	5.39086379920439	10.432716083944	1989.3311683186	190682	178337
2010	4.65072716903917	8.97171708883399	1722.08520833333	191946	178337
2011	4.73253623359763	9.2589502640085	1779.32950803557	192174	183804
2012	3.2375245876591	6.37518773780358	1229.77371462231	192900	186950
2013	3.47532008899113	6.84528524825974	1332.469	194655	188754
2014	3.88041263162817	7.66890377638878	1503.76466589697	196086	191441
2015	2.99657093429169	5.90853946386603	1164	197003	191441
