Jahr	Fondation Beyeler	Historisches Museum	Kunstmuseum Basel	Museum der Kulturen	Museum Tinguely	Naturhistorisches Museum	Spielzeug Welten Museum	Total
2006	339730	194965	263337	51552	144180	69055	57116	1334031
2007	389385	174198	228006	60831	123687	114045	64386	1399781
2008	298725	147504	216837	52216	118540	144618	64705	1295366
2009	325759	142906	665233	25274	117356	90028	63063	1647456
2010	385146	154926	217945	22518	121116	97064	66345	1279498
2011	426856	156025	207077	36666	112248	84249	60213	1296334
2012	368705	156940	243912	52415	105993	93748	66770	1313448
2013	334508	158567	260186	55117	116082	93328	82302	1336330
2014	349531	148509	197226	62845	113095	80920	79027	1264238
2015	481704	148605	123625	77141	106189	96397	74503	1345097
