Name	Besucher	Rang
Tutanchamun (2004)	620000	1
Van Gogh (2009)	552000	2
Paul Gauguin (2015)	370000	3
Monet (1986)	245000	4
Wien 1900 - Klimt. Schiele und ihre Zeit (2010/11)	223000	5
Picasso/Braque (1990)	214000	6
Monet (2002)	201000	7
Rothko (2001)	200000	8
Munch (2007)	200000	9
Segantini (2011)	173000	10
Gerhard Richter (2014)	171000	11
Surrealismus in Paris (2011/2012) 	159000	12
Ferdinand Hodler (2013)	147000	13
Degas (2012/2013)	143000	14
Die Picassos sind da! (2013)	121000	15
Rousseau (2010)	115000	16
Gustave Courbet (2014/15)	115000	17
Renoir (2012)	112000	18
Tiefsee (2007/2008)	110000	19
Koons (2012)	110000	20
Basquiat (2010)	109000	21
Max Ernst (2013)	109000	22
Bonnard (2012)	107000	23
Warhol (2010/2011)	102000	24
Holbein (2005)	90000	25
Kandinsky (2006/07)	90000	26
Odilon Redon (2014) 	81000	27
Himmelsscheibe (2006/07)	80000	28
