Jahr	1 Zimmer Mittelwert	1 Zimmer Median	1 Zimmer Q1	1 Zimmer Q3	2 Zimmer Mittelwert	2 Zimmer Median	2 Zimmer Q1	2 Zimmer Q3	3 Zimmer Mittelwert	3 Zimmer Median	3 Zimmer Q1	3 Zimmer Q3	4 Zimmer Mittelwert	4 Zimmer Median	4 Zimmer Q1	4 Zimmer Q3	5 Zimmer Mittelwert	5 Zimmer Median	5 Zimmer Q1	5 Zimmer Q3
2011	813	715	610	891	1165	1050	910	1250	1560	1448	1275	1670	2063	2030	1620	2360	2484	2470	1950	2776
2012	906	735	620	1000	1150	1065	930	1250	1667	1445	1230	1816	2148	1970	1700	2450	2691	2640	2275	3050
2013	797	720	620	991	1218	1165	980	1350	1570	1430	1250	1650	2187	1980	1675	2448	2751	2780	2125	3260
2014	751	650	590	755	1157	1070	953	1239	1699	1550	1300	1910	2272	2100	1820	2490	.	.	.	.
2015	798	680	636	760	1263	1100	1000	1380	1714	1463	1310	1800	2245	2054	1700	2520	2865	2700	2240	3360
2016	940	865	688	1070	1300	1200	955	1470	1687	1560	1400	1920	2411	2300	1930	2600	3643	3200	2940	4100
2017	930	785	690	990	1297	1220	1060	1420	1617	1455	1290	1780	2469	2480	1960	2770	3538	3365	2900	3800
2018	935	850	715	1050	1346	1280	1090	1490	1589	1500	1323	1720	2183	2092	1820	2640	3039	3000	2600	3320
2019	1058	880	720	1100	1296	1250	1060	1440	1648	1570	1350	1820	2242	2293	1784	2570	2961	2700	2290	3375
2020	847	820	675	990	1283	1210	1060	1400	1614	1490	1300	1743	2256	2158	1820	2500	2985	2800	2150	3150
2021	956	840	695	975	1266	1230	1050	1410	1595	1480	1280	1760	2178	1990	1700	2495	3448	3325	2700	4000
