Jahr	1-Zimmer	2-Zimmer	3-Zimmer	4-Zimmer	5+-Zimmer	Anzahl leere Wohnungen	LWQ alle Wohnungen (rechte Skala)	LWQ 1-Zimmer	LWQ 2-Zimmer	LWQ 3-Zimmer	LWQ 4-Zimmer	LWQ 5+-Zimmer
2006	199	365	546	275	86	1471	1.405933402	1.706396844	1.462632739	1.402193174	1.574487576	0.740996037
2007	192	330	572	272	102	1468	1.40153902	1.650618982	1.327380234	1.467494484	1.548974943	0.870976005
2008	156	255	533	265	85	1294	1.235404753	1.350649351	1.029928511	1.365161489	1.50329022	0.722604778
2009	143	201	371	200	54	969	0.924635966	1.244560487	0.813600486	0.948485236	1.1296244	0.458287363
2010	124	158	317	148	36	783	0.745160738	1.078917602	0.639158576	0.807931491	0.829503419	0.305421227
2011	94	115	171	92	50	522	0.495886611	0.820674	0.465210356	0.435048084	0.512734771	0.422190323
2012	119	102	159	86	34	500	0.472750652	1.038394415	0.40916202	0.402939686	0.476454294	0.286557101
2013	58	91	136	55	21	361	0.340820045	0.506064043	0.364568727	0.344286365	0.304052186	0.176352032
2014	25	51	93	48	28	245	0.228395637	0.233950964	0.205761317	0.231816142	0.254520388	0.218391701
2015	52	84	107	79	39	361	0.33653398	0.486618005	0.338900992	0.266713196	0.418898139	0.304188441
2016	61	107	163	77	44	452	0.416770398	0.560455715	0.424014266	0.402618254	0.405028668	0.342732513
2017	68	164	202	84	28	546	0.500366569	0.614383809	0.644932951	0.496998327	0.439353523	0.217729393
