"Jahr"	"Schadenfälle"	"Schadensumme (rechte Skala)"	"Category"
1984	21	23.44	0
1985	0	0	1
1986	21	23.63	2
1987	12	155.7	3
1988	3	11.91	4
1989	1	3.66	5
1990	2	2.11	6
1991	131	516.28	7
1992	16	72.93	8
1993	2	2.86	9
1994	22	119.49	10
1995	18	85.55	11
1996	7	23.47	12
1997	4	3.62	13
1998	2	3.56	14
1999	156	1351.23	15
2000	15	30.21	16
2001	3	5.75	17
2002	27	672.5	18
2003	0	0	19
2004	36	94.2	20
2005	3	14.42	21
2006	19	67.14	22
2007	80	172.79	23
2008	6	12.99	24
2009	7	20.73	25
2010	4	16.83	26
2011	3	0.98	27
2012	9	0	28
2013	13	1.25	29
2014	97	898.61	30
2015	11	42.99	31
2016	81	820.26	32
2017	28	128.34	33
2018	16	39.06	34
2019	31	98.28	35
2020	15	66.28	36
