Antwort	Ja, regelmässig	Ja, hin und wieder	Ja, selten	Nein, nie	Nein, nicht möglich	Keine Angabe
2022: Arbeitskollegen (N=1781)	13.44236	54.08197	199.84708	1237	52.06308	224.44578
2017: Arbeitskollegen (N=1665)	10.25846	42.04753	137.20635	1209	49.74520	217.06668
2013: Arbeitskollegen (N=2231)	8.62190	62.87047	194.15279	1565	61.85513	338.84544
2009: Arbeitskollegen (N=3119)	12.00000	101.00000	301.00000	2243	82.00000	380.00000
.						
2022: Nachbarn (N=1781)	46.14641	237.43420	357.44158	890.63883	37.22715	212.11184
2017: Nachbarn (N=1665)	25.99396	183.78017	269.46877	978.97949	22.86640	183.91122
2013: Nachbarn (N=2231)	25.60879	236.49337	353.71710	1286	34.83943	294.53256
2009: Nachbarn (N=3119)	85.00000	375.00000	604.00000	1689	40.00000	326.00000
..						
2022: Freunde und Bekannte (N=1781)	64.71454	308.07116	505.23923	664.43249	36.51020	202.03238
2017: Freunde und Bekannte (N=1665)	44.87490	289.85856	338.18762	792.28614	20.60823	179.18455
2013: Freunde und Bekannte (N=2231)	65.17396	364.12365	437.04613	1050	41.63253	272.93918
2009: Freunde und Bekannte (N=3119)	117.00000	591.00000	733.00000	1349	39.00000	290.00000
