Antwort	 Regelmässig	 Hin und wieder	 Selten	 Nie	 Nicht möglich	 Keine Angabe
Arbeitskollegen 2019 (N=1 410)	0.1	1.1	2.9	51.4	22.1	22.3
Arbeitskollegen 2015 (N=1 427)	0.1	1.7	3.4	50.4	20.8	23.6
Arbeitskollegen 2011 (N=1 689)		0.5	2.4	51.2	18.1	27.8
.
Nachbarn 2019 (N=1 410)	1.8	11.8	13.1	49.7	6.5	17.1
Nachbarn 2015 (N=1 427)	1.6	12.4	11.4	50.0	6.0	18.5
Nachbarn 2011 (N=1 689)	0.9	6.7	8.6	54.2	0.1	29.5
..
Freunde und Bekannte 2019 (N=1 410)	1.7	10.6	12.0	52.1	6.4	17.2
Freunde und Bekannte 2015 (N=1 427)	2.0	10.3	12.1	50.5	6.7	18.4
Freunde und Bekannte 2011 (N=1 689)	1.5	6.7	7.5	53.1	8.1	23.1
