wohnviertel_id	Arbeitslosenquote	Rang	wohnviertel	Jahr
1	3.2	7	Grossbasel Altstadt	2024
2	3.1	6	Vorstädte	2024
3	3.3	8	Am Ring	2024
4	4.3	14	Breite	2024
5	3.4	9	St.Alban	2024
6	3.7	10	Gundeldingen	2024
7	2.4	1	Bruderholz	2024
8	2.6	2	Bachletten	2024
9	3	5	Gotthelf	2024
10	4.6	15	Iselin	2024
11	4.2	13	St.Johann	2024
12	4.1	12	Kleinbasel Altstadt	2024
13	4	11	Clara	2024
14	2.7	3	Wettstein	2024
15	2.9	4	Hirzbrunnen	2024
16	5.1	16	Rosental	2024
17	5.1	17	Matthäus	2024
18	5.6	18	Klybeck	2024
19	5.9	19	Kleinhüningen	2024
