Jahr	Quartierid	Jahresmittel
1982	-99	97.6
1983	-99	101.2
1984	-99	104.2
1985	-99	107.7
1986	-99	108.2
1987	-99	109.8
1988	-99	111.8
1989	-99	115.5
1990	-99	122
1991	-99	129.5
1992	-99	135.1
1993	-99	140
1994	-99	141.6
1995	-99	143.9
1996	-99	145.3
1997	-99	146.1
1998	-99	146
1999	-99	147.1
2000	-99	149.1
2001	-99	150.4
2002	-99	151.4
2003	-99	152.3
2004	-99	153.5
2005	-99	155.7
2006	-99	157.4
2007	-99	158.3
2008	-99	162.2
2009	-99	161.6
2010	-99	163
2011	-99	163.5
2012	-99	162.5
2013	-99	162.2
2014	-99	162.2
2015	-99	160.2
2016	-99	160
2017	-99	161.1
