Jahr	Deutschland	Türkei	Spanien	Mazedonien	Frankreich	Italien	Serbien, Montenegro, Kosovo	Portugal	Vereinigtes Königkreich	Indien	Gesamtes Ausland	Übriges Ausland
2006	16	244	25	43	3	82	168	10	0	23	879	265
2007	41	460	23	126	10	78	465	10	8	30	1823	572
2008	56	389	24	84	17	98	385	7	4	32	1594	498
2009	106	265	28	92	3	53	183	11	1	6	1019	271
2010	106	146	28	41	2	34	148	12	8	6	711	180
2011	88	106	10	31	10	46	80	1	5	6	557	174
2012	96	142	27	33	3	59	81	12	8	5	654	188
2013	153	163	29	49	7	48	154	8	16	8	871	236
2014	154	100	20	54	8	69	115	11	9	5	749	204
2015	219	144	49	40	19	82	132	19	18	4	961	235
