Kategorie	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.	Total
2007  Neubau	3	11	31	38	33	4	0
2007  Umbau	0	0	0	0	0	0	263
2008  Neubau	8	31	75	64	15	8	0
2008  Umbau	3	25	31	57	10	17	0
2009  Neubau	31	104	165	145	17	7	0
2009  Umbau	9	13	41	44	21	11	0
2010  Neubau	8	54	156	118	26	10	0
2010  Umbau	15	17	21	34	16	16	0
2011  Neubau	9	114	121	94	13	0	0
2011  Umbau	6	11	24	29	18	12	0
2012  Neubau	19	100	88	41	12	8	0
2012  Umbau	26	41	40	25	16	6	0
2013  Neubau	10	51	35	26	6	10	
2013  Umbau	27	83	33	3	26	5	
2014  Neubau	75	78	75	65	23	10	
2014  Umbau	21	89	109	105	26	19	
2015  Neubau	36	41	28	18	8	3	
2015  Umbau	32	258	310	141	42	5	
