Saison	Theater Basel	Fauteuil	Tabourettli	Basler Kinder Theater	Kaserne	Theater Arlecchino
2006/2007	158343	54116	23651	7374	9727	9400
2007/2008	165188	59549	22364	7348	7240	10500
2008/2009	176166	56768	20668	8174	13888	11400
2009/2010	178716	56000	22641	8900	18575	14000
2010/2011	177988	54051	22611	8979	21457	16880
2011/2012	164645	58358	22388	10500	14004	14955
2012/2013	165614	57923	20100	12315	16410	17445
2013/2014	188838	57367	22163	12500	16828	17035
2014/2015	169077	55197	20285	10100	14803	14335
2015/2016		61710	20098	10000		15210
