Jahr	Versiegelte Fläche in %	Versiegelte Fläche in m2
2003	46.7956356682451	16520791.2991581
2004	46.8395454846007	16535220.9574702
2005	46.6273931990923	16459360.0003929
2006	46.5467107289362	16430481.3470931
2007	46.4458577096268	16373394.15828
2008	47.4575703487364	17051908.0390543
2009	47.4460174625851	17046514.6535005
2010	47.3814712925055	17011316.1565587
2011	47.3325423833755	16993125.1950737
2012	47.3185287178668	16984486.8894578
2013	47.1038646368177	16912380.0684276
2014	47.0347853592262	16879852.7586119
2015	47.1021612576517	16904032.6349395
