Jahr	Haushalte	Gewerbe	Temporär	Bau	Industrie	Eigenverbrauch Trinkwasser IWB	Verbrauch Total
2006	15537543	1521654	259946	276767	2323054	4646754	25730000
2007	15327577	820152	289901	264204	2918659	5837749.5	25431000
2008	15487773	1026331	306987	258022	3198998	6398475.3	26161000
2009	15206038	1033343	326408	255604	3648746	7298017.4	26772000
2010	15055016	954455	314425	290634	4246703	8493994.254	27309000
2011	15818793	1010756	385471	306447	3765801	3766358.5	26019000
2012	15989100	1277171	328712	332192	3510554	3511013.7	25441683
2013	15170388	931384	265937	307473	3692505	3692965.78760236	25912000
2014	15308599	855113	286717	311429	3436761	3437209.99006866	25615867
2015	14947836	830674	365829	341825	3810041	3810521.17154036	26545709
