Jahr	Schweiz	Ausland	Ausländeranteil (rechte Skala)	Total
1997	142279	51974	26.7558287388	194253
1998	140223	51898	27.0131843994	192121
1999	137808	52333	27.5232590551	190141
2000	135650	52429	27.8760520844	188079
2001	134825	52634	28.0776063032	187459
2002	133730	54285	28.8726963274	188015
2003	132756	55457	29.4650210134	188213
2004	131998	56479	29.9659905452	188477
2005	130726	57194	30.4352916134	187920
2006	129216	58576	31.1919570588	187792
2007	129082	58918	31.3393617021	188000
2008	129226	60330	31.8270062672	189556
2009	128639	62176	32.5844404265	190815
2010	128427	63179	33.1128569856	190799
2011	127981	64095	33.3696036985	192076
2011	127874	64430	33.5042432814	192304
2012	127932	65527	33.8712595433	193459
2013	127907	67552	34.5607007096	195459
2014	127692	68779	35.0072020807	196471
2015	127617	69587	35.2868095981	197204
2016	127398	70808	35.7244483012	198206
