Jahr	Schweiz	Deutschland	Frankreich	Italien	Spanien	Portugal	ehem. Jugoslawien	Türkei	übriges Ausland	Total
1995	145941	5510	1024	11975	5048	1416	10233	8101	8554	197802
1996	144375	5614	1034	11641	4877	1472	10417	8239	8820	196489
1997	142279	5683	1025	11343	4644	1481	10523	8294	8981	194253
1998	140223	5741	1014	10928	4425	1458	10799	8268	9265	192121
1999	137808	5861	1044	10650	4211	1449	11277	8343	9498	190141
2000	136609	6155	1021	10228	4055	1484	10902	8250	9877	188581
2001	134825	6442	1012	9905	3914	1512	10933	8131	10785	187459
2002	133730	7280	1067	9620	3838	1704	11061	8105	11610	188015
2003	132756	8020	1071	9307	3692	1753	11097	7960	12557	188213
2004	131998	8925	1099	9113	3473	1832	10982	7904	13151	188477
2005	130726	9962	1143	8793	3297	1994	10724	7778	13503	187920
2006	129216	10966	1247	8541	3140	2086	10474	7667	14455	187792
2007	129082	12172	1369	8212	2944	2248	9753	7274	14946	188000
2008	129226	13291	1428	8108	2887	2439	9173	6995	16009	189556
2009	128639	14189	1470	8033	2872	2543	8831	6829	17409	190815
2010	128213	14419	1439	7955	2884	2566	8726	6768	17829	190799
2011	127981	14885	1482	7996	2965	2767	8816	6723	18461	192076
2012	127932	14963	1557	7969	3101	2963	8787	6651	19536	193459
2013	127907	15405	1649	8120	3370	3199	8675	6599	20535	195459
2014	127692	15620	1797	8240	3587	3346	8609	6529	21051	196471
2015	127617	15756	1980	8302	3671	3343	8519	6392	21624	197204
