Alter	Schweizer	Ausländer	Schweizerinnen	Ausländerinnen	Total
0	-596	-389	552	386	1923
1	-576	-432	516	401	1925
2	-549	-408	460	361	1778
3	-535	-402	528	397	1862
4	-490	-395	496	354	1735
5	-528	-370	511	389	1798
6	-476	-328	489	316	1609
7	-497	-288	462	342	1589
8	-465	-349	445	284	1543
9	-480	-297	453	259	1489
10	-478	-319	451	269	1517
11	-475	-297	454	262	1488
12	-497	-251	441	248	1437
13	-469	-268	458	239	1434
14	-502	-248	427	226	1403
15	-543	-274	453	258	1528
16	-551	-241	482	262	1536
17	-558	-274	540	237	1609
18	-547	-259	527	229	1562
19	-610	-254	654	217	1735
20	-626	-243	666	279	1814
21	-715	-317	788	298	2118
22	-740	-324	952	329	2345
23	-860	-377	975	369	2581
24	-934	-439	1005	457	2835
25	-877	-531	1054	597	3059
26	-909	-621	1049	689	3268
27	-906	-712	1067	735	3420
28	-853	-743	931	769	3296
29	-893	-805	984	873	3555
30	-813	-825	862	876	3376
31	-855	-882	825	903	3465
32	-793	-878	850	914	3435
33	-806	-904	810	926	3446
34	-749	-976	737	941	3403
35	-705	-983	711	876	3275
36	-685	-831	675	826	3017
37	-669	-880	630	802	2981
38	-655	-859	646	795	2955
39	-634	-859	684	701	2878
40	-634	-793	591	704	2722
41	-621	-802	609	713	2745
42	-590	-697	660	643	2590
43	-630	-654	652	589	2525
44	-673	-640	717	574	2604
45	-725	-654	685	589	2653
46	-781	-662	800	562	2805
47	-760	-632	859	557	2808
48	-789	-632	855	526	2802
49	-863	-648	955	534	3000
50	-902	-591	1005	483	2981
51	-949	-592	991	538	3070
52	-937	-566	976	425	2904
53	-906	-535	942	461	2844
54	-857	-493	981	389	2720
55	-955	-497	1015	381	2848
56	-866	-400	975	322	2563
57	-864	-402	941	278	2485
58	-842	-384	965	287	2478
59	-843	-394	901	302	2440
60	-746	-351	903	247	2247
61	-793	-305	866	250	2214
62	-796	-280	815	251	2142
63	-730	-298	890	208	2126
64	-690	-241	846	178	1955
65	-727	-221	881	194	2023
66	-727	-225	830	182	1964
67	-707	-210	839	177	1933
68	-668	-182	851	162	1863
69	-651	-185	863	132	1831
70	-675	-144	840	127	1786
71	-652	-150	799	127	1728
72	-643	-155	843	117	1758
73	-618	-142	838	122	1720
74	-569	-128	813	104	1614
75	-494	-157	744	114	1509
76	-472	-125	779	97	1473
77	-455	-103	701	114	1373
78	-478	-104	780	104	1466
79	-429	-78	732	86	1325
80	-473	-85	753	88	1399
81	-419	-76	715	62	1272
82	-384	-51	660	59	1154
83	-402	-42	733	50	1227
84	-339	-36	724	43	1142
85	-379	-37	666	28	1110
86	-314	-29	612	45	1000
87	-282	-16	596	37	931
88	-216	-15	550	29	810
89	-210	-14	467	20	711
90	-140	-7	410	22	579
91	-139	-8	373	17	537
92	-114	-8	311	5	438
93	-81	-1	258	3	343
94	-56	-5	221	9	291
95	-46	-1	148	7	202
96	-33	0	90	2	125
97	-10	-1	61	1	73
98	-13	0	52	0	65
99	-6	0	40	0	46
100	-7	0	32	0	39
101	-2	-1	14	1	18
102	-3	0	9	0	12
103	-2	0	11	0	13
104	0	0	5	0	5
105	0	0	1	0	1
108	0	0	1	0	1
113	0	-1	0	0	1
