jahr	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur und Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	allg_verwaltung_ausg	sicherheit_ausg	bildung_ausg	kultur_sport_ausg	gesundheit_ausg	soziales_ausg	verkehr_ausg	umweltschutz_ausg	Volkswirtschaft_ausg	finanzen_und_steuern_ausg	Bevölkerung
2006	859.451402455909	1939.70800188506	5098.24339380804	1057.93289075147	5481.64323954162	4238.49891321249	1472.15813543708	389.437144287297	123.010801631592	861.619959902445	161398097.77	364261645.09	957409323.41	198671333.42	1029408747.24	795956187.91	276459520.57	73133180.2	23100444.46	161805335.51	187792
2007	6273.59087351064	2004.24180218085	5486.89515968085	1137.64968047872	5590.08111404255	4289.60069154255	1100.27404515957	450.258018617021	142.009813138298	895.221785957447	1179435084.22	376797458.81	1031536290.02	213878139.93	1050935249.44	806444930.01	206851520.49	84648507.5	26697844.87	168301695.76	188000
2008	4205.69933336817	1863.96105306611	5857.34061821606	1300.13830366257	3111.39907862094	3782.79169391647	797.670361121021	614.044098940419	239.444100008911	1393.66020286386	797215542.835938	353325001.375	1110294058.22656	246449016.289063	589784363.74707	717050862.332031	151203202.972656	116395743.21875	45388065.8212891	264176653.414063	189556
2009	1021.10399280819	1760.57123944495	6051.6274966995	1169.57773063897	3396.05758132673	4031.89007089041	669.656912761543	479.062144309442	446.827278712365	1415.79451516972	194841958.387695	335943401.054688	1154741300.78271	223172974.671875	648018727.380859	769345103.876953	127780583.808594	91412243.0664063	85261347.1875	270154830.412109	190815
2010	2018.83535200984	1816.73014533619	6206.38721376946	1211.53759158853	3319.72977722957	4157.63031905877	655.99511927064	497.668319863934	734.426338937671	1342.39552643792	385191766.328125	346630295	1184172474	231160160.9375	633401121.765625	793271707.246094	125163212.761719	94954617.7617188	140127811.042969	256127724.048828	190799
2011	1907.11207693938	1893.84272517407	6328.66198680702	1258.1114764091	3376.78359367078	4329.46050301744	657.051785956009	500.966648144019	179.857091394436	1413.55954600813	366745280.84375	364193531.421875	1217027014.71094	241939869.359375	649368992.197266	832572572.572266	126353686.646484	96337890.3046875	34587238.1035156	271833154.935547	192304
2012	1126.73040855879	1990.86338622622	6822.05068695515	1369.3310410733	4574.89252964998	4573.54648974395	919.889634197362	451.759681880269	88.1244783773427	1390.98816415881	217976138.109375	385150439.835938	1319787103.84766	264909413.875	885054133.893555	884793730.359375	177960928.742188	87396976.296875	17048473.4624023	269099179.25	193459
2013	1272.68955209276	2144.16696522772	7038.57228279806	1287.7542850109	3096.10716919453	4584.00481591888	1589.66914907665	438.151786388066	85.1419048525082	1731.11588353808	248758627.162498	419096730.856445	1375752299.82343	251703164.793945	605162011.183594	895984997.314688	310715142.209373	85640710.015625	16641751.5805664	338362179.480469	195459
2014	1454.1392384245	2169.99367502049	7422.8023695878	1455.01325044845	3091.60103566493	4901.88265304084	1284.65287952008	418.728809402453	120.080839727539	1645.47491845171	285696190.3125	426340827.324951	1458365404.35529	285867908.328857	607409947.078125	963077786.725586	252397035.892189	82268067.9121094	23592402.6621094	323288102.703125	196471
2015	1805.1408852001	2178.6586328434	7795.04823774657	1678.06132572676	3091.31130871696	4552.23617454825	1438.72667758546	463.167100827874	597.569927548059	1521.46195863088	355981003.125	429640197.03125	1537214692.67657	330920405.678619	609618955.324219	897719182.565613	283722655.726563	91338404.9516602	117843179.992188	300038384.089844	197204
