	 Weiss nicht/k.A.	 Ganz unzufrieden	 Eher unzufrieden	 Eher zufrieden	 Sehr zufrieden
Parkplätze	10	20	30	40	50
Wohnungsangebot	10	20	30	40	50
Kinderbetreuung	10	20	30	40	50
Jugendeinrichtungen	10	20	30	40	50
Behinderteneinrichtungen	10	20	30	40	50
Arbeitsplatzangebot	10	20	30	40	50
Schule, Bildung	10	20	30	40	50
Senioreneinrichtungen	10	20	30	40	50
Sauberkeit	10	20	30	40	50
Öffentliche Sicherheit	10	20	30	40	50
Lärmsituation	10	20	30	40	50
Luftqualität	10	20	30	40	50
Bevölkerung	10	20	30	40	50
Quartierleben	10	20	30	40	50
Gebäude/Strassenbild	10	20	30	40	50
Verkehrssicherheit	10	20	30	40	50
Einkaufsmögl. im Quartier	10	20	30	40	50
Kulturangebot	10	20	30	40	50
Grünanlagen	10	20	30	40	50
Abfallbeseitigung	10	20	30	40	50
Gesundheitsversorgung	10	20	30	40	50
ÖV-Angebot	10	20	30	40	50
Einkaufsmögl. in Basel	10	20	30	40	50
