Jahr	Sport und Freizeit	Kirchen, rel. Angelegenheiten	Kulturerbe	Kultur, übrige	Sport und Freizeit CHF	Kirchen, rel. Angelegenheiten CHF	Kulturerbe CHF	Kultur, übrige DHF	Bevölkerung
2009	344.3	0	478.1	347.9	65657923.3	0	91170539.8	66344510.3	190682
2010	366.1	0	493.3	344.9	70273809.4	0	94692502.8	66193851.3	191946
2011	397	0	506.8	355.2	76291751.6	0	97386569	68261547.8	192174
2012	423.9	4.4	572.6	372.5	81769392.2	840818.6	110452201.6	71847004	192900
2013	403.3	4.5	515	370.4	78494943.6	870000	100246110.6	72092110	194655
2014	0.4	0	0.6	0.5	83893.6	735.3	117776.7	89100	196086
2015	0.5	0	0.7	0.6	94781.2	0	129130.1	111461.6	197005
2016	0.6	0	0.5	0.5	112085.5	440	102075.3	96140.3	197926
2017	0.7	0	0.4	0.5	130422	790	85880.2	93494.4	198562.5833
2018	0.7	0	0.4	0.5	133339.4	132.2	89278.8	96741.6	199870.08
