Wohnviertel	Grünfläche m2 pro Einwohner 
Altstadt Grossbasel	10.2191541190354
Vorstädte	36.1830729144794
Am Ring	20.7175961000851
Breite	27.6315431896563
St. Alban	87.6339166248504
Gundeldingen	10.9745103748015
Bruderholz	204.336165065826
Bachletten	46.850980293731
Gotthelf	23.0550300083868
Iselin	24.1497595845187
St. Johann	32.4826065711688
Altstadt Kleinbasel	8.24372684407881
Clara	9.1688676131174
Wettstein	36.5997639733882
Hirzbrunnen	202.709472075599
Rosental	10.1842728793399
Matthäus	6.13632943079751
Klybeck	14.906157559363
Kleinhüningen	72.2969320319869
Riehen	413.897803404878
Bettingen	1669.52295190722
