jahr	Einwohner	Einwohner pro ha	Flaeche ha
1997	194253	52.56175403	3695.71
1998	192121	51.98486894	3695.71
1999	190141	51.44911261	3695.71
2000	188581	51.02700157	3695.71
2001	187459	50.72340632	3695.71
2002	188015	50.87385103	3695.71
2003	188213	50.92742666	3695.71
2004	188477	50.99886084	3695.71
2005	187920	50.84814555	3695.71
2006	187792	50.8135108	3695.71
2007	188000	50.86979227	3695.71
2008	189556	51.29082097	3695.71
2009	190815	51.63148623	3695.71
2010	190799	51.62715689	3695.71
2011	192076	51.97269266	3695.71
2012	193459	52.34691033	3695.71
2013	195459	52.88807833	3695.71
2014	196471	53.16190934	3695.71
2015	197204	53.36024742	3695.71
2016	198206	53.63137259	3695.71
