Jahr	Ökologischer Fussabdruck Schweiz	Biokapazität Schweiz
1961	4.341505657	1.349466512
1962	4.643896472	1.367945996
1963	4.566892488	1.293348216
1964	4.668851701	1.293393388
1965	4.614614199	1.24012587
1966	4.538131093	1.23446329
1967	4.748065977	1.269248283
1968	4.765534088	1.230793851
1969	5.344088145	1.222478386
1970	5.841370031	1.20438328
1971	6.034305191	1.222337687
1972	6.204218681	1.255692879
1973	6.4646032	1.246522389
1974	5.917853468	1.260236207
1975	5.113086111	1.241586771
1976	5.367118246	1.232189566
1977	5.453534147	1.212037567
1978	5.871694137	1.253238547
1979	5.838004605	1.281475323
1980	6.007223379	1.248300226
1981	5.735317998	1.26482457
1982	5.35299713	1.288723955
1983	5.610885638	1.249468626
1984	5.859217788	1.304276255
1985	5.880631657	1.276616058
1986	6.054653999	1.276399876
1987	5.917460591	1.261898376
1988	6.06243077	1.340572837
1989	6.336068318	1.353447159
1990	6.474159016	1.363729123
1991	6.200495615	1.353624535
1992	5.952679903	1.348966482
1993	5.621251097	1.337342731
1994	5.683310181	1.315956067
1995	5.743125165	1.312085842
1996	5.605266628	1.342953683
1997	5.657954641	1.297711957
1998	5.72577312	1.325727258
1999	5.507934883	1.257653517
2000	5.593806346	1.297379105
2001	5.368376449	1.253495893
2002	5.410881154	1.262518538
2003	5.376561022	1.205825094
2004	5.399572949	1.233430556
2005	5.667242852	1.206915282
2006	5.667138096	1.188791782
2007	5.886142922	1.190290383
2008	5.844552782	1.159810221
2009	5.466776662	1.152973555
2010	5.484258225	1.126085446
2011	5.415528616	1.129523019
2012	5.120401893	1.095540933
2013	5.158632968	1.058173919
2014	4.870600271	1.081466182
2015	4.747263958	1.048877672
2016	4.637006301	1.00434539
