Wohnviertel	Bewohner
2006 Altstadt Grossbasel	2496
2016 Altstadt Grossbasel	3135
2006 Vorstädte	5641
2016 Vorstädte	6697
2006 Am Ring	12768
2016 Am Ring	13881
2006 Breite	9937
2016 Breite	11081
2006 St. Alban	12134
2016 St. Alban	13720
2006 Gundeldingen	22343
2016 Gundeldingen	23635
2006 Bruderholz	9979
2016 Bruderholz	11273
2006 Bachletten	15032
2016 Bachletten	16136
2006 Gotthelf	7787
2016 Gotthelf	8433
2006 Iselin	18760
2016 Iselin	21185
2006 St. Johann	22286
2016 St. Johann	24840
2006 Altstadt Kleinbasel	2698
2016 Altstadt Kleinbasel	3233
2006 Clara	4771
2016 Clara	5245
2006 Wettstein	6461
2016 Wettstein	7104
2006 Hirzbrunnen	9527
2016 Hirzbrunnen	10845
2006 Rosental	5867
2016 Rosental	8831
2006 Matthäus	19563
2016 Matthäus	21209
2006 Klybeck	9220
2016 Klybeck	9600
2006 Kleinhüningen	3171
2016 Kleinhüningen	3640
2006 Riehen	23656
2016 Riehen	25634
2006 Bettingen	1458
2016 Bettingen	1474
