jahr	Leerwohnungsquote in %	Leerwohnungen	Wohnungen
1998	1.52052418577761	1578	103871
1999	1.54249070846733	1602	103983
2000	1.30810738022642	1360	104092
2001	1.40839657988279	1466	104024
2002	1.32756105052987	1383	104263
2003	1.36247625261461	1420	104348
2004	1.43930392119284	1502	104399
2005	1.52	1586	104376
2006	1.40593340214856	1471	104628
2007	1.40153901968647	1468	104742
2008	1.24	1294	104743
2009	0.92	969	104798
2010	0.744247055804272	783	105078
2011	1.48936170212766	522	105266
2012	0.4727506523959	500	105764
2013	0.340820045127973	361	105921
2014	0.23033892727871	245	107270
2015	0.336533979677	361	107270
2016	0.416770398237	452	108453
