Jahr	WohnviertelId	Wohnviertel	Nettowohnungsproduktion
2007	1	Altstadt Grossbasel	-1
2007	2	Vorstädte	-7
2007	3	Am Ring	-18
2007	4	Breite	0
2007	5	St. Alban	-32
2007	6	Gundeldingen	0
2007	7	Bruderholz	16
2007	8	Bachletten	1
2007	9	Gotthelf	-13
2007	10	Iselin	-44
2007	11	St. Johann	-5
2007	12	Altstadt Kleinbasel	0
2007	13	Clara	0
2007	14	Wettstein	0
2007	15	Hirzbrunnen	-1
2007	16	Rosental	0
2007	17	Matthäus	13
2007	18	Klybeck	-6
2007	19	Kleinhüningen	0
2007	20	Riehen	36
2007	30	Bettingen	0
2008	1	Altstadt Grossbasel	-3
2008	2	Vorstädte	8
2008	3	Am Ring	15
2008	4	Breite	2
2008	5	St. Alban	37
2008	6	Gundeldingen	14
2008	7	Bruderholz	1
2008	8	Bachletten	27
2008	9	Gotthelf	-8
2008	10	Iselin	-29
2008	11	St. Johann	-4
2008	12	Altstadt Kleinbasel	-17
2008	13	Clara	-1
2008	14	Wettstein	-2
2008	15	Hirzbrunnen	-10
2008	16	Rosental	0
2008	17	Matthäus	8
2008	18	Klybeck	-2
2008	19	Kleinhüningen	3
2008	20	Riehen	9
2008	30	Bettingen	0
2009	1	Altstadt Grossbasel	4
2009	2	Vorstädte	-1
2009	3	Am Ring	-2
2009	4	Breite	1
2009	5	St. Alban	1
2009	6	Gundeldingen	29
2009	7	Bruderholz	21
2009	8	Bachletten	-9
2009	9	Gotthelf	-6
2009	10	Iselin	-1
2009	11	St. Johann	102
2009	12	Altstadt Kleinbasel	0
2009	13	Clara	0
2009	14	Wettstein	2
2009	15	Hirzbrunnen	0
2009	16	Rosental	233
2009	17	Matthäus	-72
2009	18	Klybeck	0
2009	19	Kleinhüningen	-2
2009	20	Riehen	0
2009	30	Bettingen	0
2010	1	Altstadt Grossbasel	-13
2010	2	Vorstädte	39
2010	3	Am Ring	-6
2010	4	Breite	-26
2010	5	St. Alban	60
2010	6	Gundeldingen	12
2010	7	Bruderholz	4
2010	8	Bachletten	7
2010	9	Gotthelf	-1
2010	10	Iselin	2
2010	11	St. Johann	173
2010	12	Altstadt Kleinbasel	0
2010	13	Clara	-2
2010	14	Wettstein	1
2010	15	Hirzbrunnen	-33
2010	16	Rosental	10
2010	17	Matthäus	3
2010	18	Klybeck	3
2010	19	Kleinhüningen	-3
2010	20	Riehen	-21
2010	30	Bettingen	-1
2011	1	Altstadt Grossbasel	2
2011	2	Vorstädte	-1
2011	3	Am Ring	8
2011	4	Breite	51
2011	5	St. Alban	-12
2011	6	Gundeldingen	19
2011	7	Bruderholz	2
