Wohnviertelid	Wohnviertel_Name	2020	Veränderung 1995 bis 2020		1995
1	Altstadt GB	171201	-51418	222619
2	Vorstädte	356982	-48599	405581
3	Am Ring	688618	816	687802
4	Breite	501367	21452	479915
5	St. Alban	820185	78835	741350
6	Gundeldingen	1023897	60093	963804
7	Bruderholz	645077	7822	637255
8	Bachletten	885688	81	885607
9	Gotthelf	409580	-8321	417901
10	Iselin	876226	6742	869484
11	St. Johann	927642	-1542	929184
12	Altstadt KB	147813	-18001	165814
13	Clara	197691	-21193	218884
14	Wettstein	363815	29932	333883
15	Hirzbrunnen	478345	26749	451596
16	Rosental	371422	151015	220407
17	Matthäus	768258	-11873	780131
18	Klybeck	323345	-2725	326070
19	Kleinhüningen	131108	27618	103490
20	Riehen	1385292	130679	1254613
30	Bettingen	85458	2100	83358
