wohnviertelid	Wohnviertel	2011	2014	Anz 2011	Anz 2014	Fläche Quartier in ha
1	Altstadt Grossbasel	281.424477665474	298.973037855965	10615.8000916	11277.7610142	37.7216657899207
2	Vorstädte	242.117262213071	247.088620816459	21835.1238161	22283.4612442	90.1840852507428
3	Am Ring	114.203831150691	118.155977947776	10437.5342561	10798.7363906	91.3939064121918
4	Breite	17.6222501949124	15.378967739765	1209.2050713	1055.2753239	68.6180855410341
5	St. Alban	76.867916186014	78.639323568882	22900.1951941	23427.9260973	297.916170105138
6	Gundeldingen	100.281985654559	101.104322496059	11681.985326	11777.7804666	116.491364323807
7	Bruderholz	4.59598074739928	4.65631552458901	1190.4926169	1206.1210781	259.029069600359
8	Bachletten	17.5109032106062	16.5210099764298	2677.8150675	2526.4378949	152.922726788763
9	Gotthelf	47.1172684134517	41.355348019688	2295.7500693	2015.0052471	48.7241757980302
10	Iselin	23.4342364768954	23.8365534805607	2559.3324412	2603.2708456	109.213391429387
11	St. Johann	82.6408438057607	84.0653394263105	18618.1709672	18939.0958487	225.290184729481
12	Altstadt Kleinbasel	162.318745745254	153.048779164001	4023.8060587	3794.0079074	24.7895339520121
13	Clara	115.113359006035	118.553439728309	2664.0875258	2743.7018835	23.1431655613518
14	Wettstein	120.124903861119	133.860272247662	9080.4415693	10118.720944	75.5916656532626
15	Hirzbrunnen	9.53456947970646	9.78686805054976	2953.1271473	3031.2711852	309.728420731055
16	Rosental	81.6000664862804	88.5050276957298	5170.5890527	5608.1219908	63.3650102916196
17	Matthäus	51.1928332294589	49.5248745922574	3048.4386311	2949.1147761	59.5481523250754
18	Klybeck	71.7779883069748	65.2040801245654	6605.1406378	6000.1976865	92.0218132828078
19	Kleinhüningen	33.3665320114803	43.5947567948006	4508.0180728	5889.9124261	135.105981983652
20	Riehen	3.06663684769359	3.16896548396142	3330.4457419	3441.5772478	1086.02547589057
30	Bettingen	1.45530179945025	1.57849677867498	324.0984812	351.5342376	222.701903703019
