Wohnviertel_name	2010 Arbeit	2015 Arbeit	2010 Wohnen	2015 Wohnen
Altstadt Grossbasel	519483	519253	234162	234073
Vorstädte	928329	917959	405084	419021
Am Ring	517556	536448	710360	717612
Breite	92897	87666	494450	497145
St. Alban	1181456	1173793	805689	844677
Gundeldingen	629649	631156	1007041	1034556
Bruderholz	58457	58834	657497	662320
Bachletten	110886	110727	901044	906037
Gotthelf	98852	98852	430316	431363
Iselin	161315	161092	890815	893071
St. Johann	1183076	1137533	990762	1027520
Altstadt Kleinbasel	250620	249937	165181	168605
Clara	135777	135893	228430	228425
Wettstein	526004	562064	357541	374234
Hirzbrunnen	216817	199538	456075	469136
Rosental	581619	581619	256823	327950
Matthäus	147139	146954	814458	818470
Klybeck	825593	824751	329535	329535
Kleinhüningen	276237	275637	122818	138015
Riehen	207379	207567	1372108	1376956
Bettingen	29759	29759	97299	98676
