Jahr	Wasserverbrauch in Mio. m³	Maximal mögliche Jahresproduktion in Mio. m³
1985	36.6058	50.4576
1986	35.0644	50.4576
1987	33.6209	50.4576
1988	33.9179	50.4576
1989	34.4313	50.4576
1990	33.6257	50.4576
1991	32.3364	50.4576
1992	31.7151	50.4576
1993	30.5284	50.4576
1994	30.7679	50.4576
1995	29.6915	50.4576
1996	29.8842	50.4576
1997	29.175	50.4576
1998	28.64	50.4576
1999	27.7067	50.4576
2000	27.044	50.4576
2001	25.9069	50.4576
2002	25.3	50.4576
2003	27.0679	50.4576
2004	26.1113	50.4576
2005	25.26	50.4576
2006	25.7318	50.4576
2007	25.4305	50.4576
2008	26.1596	50.4576
2009	26.7723	50.4576
2010	27.309	50.4576
2011	26.019	50.4576
2012	25.441683	50.4576
2013	25.912	50.4576
2014	25.615867	50.4576
2015	26.545709	50.4576
