Jahr	Schweiz	Ausland	Total
1997	142279	51974	194253
1998	140223	51898	192121
1999	137808	52333	190141
2000	136609	51972	188581
2001	134825	52634	187459
2002	133730	54285	188015
2003	132756	55457	188213
2004	131998	56479	188477
2005	130726	57194	187920
2006	129216	58576	187792
2007	129082	58918	188000
2008	129226	60330	189556
2009	128639	62176	190815
2010	128213	62586	190799
2011	127981	64095	192076
2012	127932	65527	193459
2013	127907	67552	195459
2014	127692	68779	196471
2015	127617	69587	197204
2016	127398	70808	198206
