jahr	Beschäftigte pro ha	Anzahl Beschäftigte	Fläche Kanton in ha
2011	39.973265	147729.5978359	3695.71
2011	2.872465	10615.8000916	3695.71
2011	5.908235	21835.1238161	3695.71
2011	2.824229	10437.5342561	3695.71
2011	0.327191	1209.2050713	3695.71
2011	6.196426	22900.1951941	3695.71
2011	3.160958	11681.985326	3695.71
2011	0.322128	1190.4926169	3695.71
2011	0.724573	2677.8150675	3695.71
2011	0.621193	2295.7500693	3695.71
2011	0.692514	2559.3324412	3695.71
2011	5.037779	18618.1709672	3695.71
2011	1.088777	4023.8060587	3695.71
2011	0.720859	2664.0875258	3695.71
2011	2.457022	9080.4415693	3695.71
2011	0.799068	2953.1271473	3695.71
2011	1.399078	5170.5890527	3695.71
2011	0.824858	3048.4386311	3695.71
2011	1.787245	6605.1406378	3695.71
2011	1.219797	4508.0180728	3695.71
2011	0.901165	3330.4457419	3695.71
2011	0.087695	324.0984812	3695.71
2012	0.095491	352.9071868	3695.71
2012	0.901752	3332.6165714	3695.71
2012	1.286361	4754.0175705	3695.71
2012	1.870192	6911.6896176	3695.71
2012	0.813041	3004.7646063	3695.71
2012	1.390811	5140.03636	3695.71
2012	0.793777	2933.5718886	3695.71
2012	2.631326	9724.6180979	3695.71
2012	0.732001	2705.2643895	3695.71
2012	1.083164	4003.0619867	3695.71
2012	5.061969	18707.5711589	3695.71
2012	0.679314	2510.5503673	3695.71
2012	0.590053	2180.6659085	3695.71
2012	0.686351	2536.5559593	3695.71
2012	0.31711	1171.9468544	3695.71
2012	3.204478	11842.8230052	3695.71
2012	6.345611	23451.5383354	3695.71
2012	0.329993	1219.5587392	3695.71
2012	2.831478	10464.3221999	3695.71
2012	5.715331	21122.2082194	3695.71
2012	2.858419	10563.8891611	3695.71
2012	40.21803	148634.1781839	3695.71
2013	40.798944	150781.0675498	3695.71
2013	2.944973	10883.766851	3695.71
2013	5.980167	22100.9636984	3695.71
2013	2.871191	10611.0913791	3695.71
2013	0.280896	1038.1128449	3695.71
2013	6.297629	23274.2129222	3695.71
2013	3.215574	11883.8291772	3695.71
2013	0.330079	1219.8780867	3695.71
2013	0.704278	2602.810651	3695.71
2013	0.581719	2149.8657917	3695.71
2013	0.708982	2620.1932759	3695.71
2013	5.1155	18905.4066456	3695.71
2013	1.083803	4005.4224786	3695.71
2013	0.758936	2804.8106156	3695.71
2013	2.599322	9606.3412839	3695.71
2013	0.810247	2994.4397717	3695.71
2013	1.536189	5677.3091867	3695.71
2013	0.831912	3074.507128	3695.71
2013	1.669848	6171.2754281	3695.71
2013	1.456903	5384.293922	3695.71
2013	0.925702	3421.1290009	3695.71
2013	0.095085	351.4074106	3695.71
2014	0.095119	351.5342376	3695.71
2014	0.931235	3441.5772478	3695.71
2014	1.593716	5889.9124261	3695.71
2014	1.623557	6000.1976865	3695.71
2014	0.797983	2949.1147761	3695.71
2014	1.517468	5608.1219908	3695.71
2014	0.820213	3031.2711852	3695.71
2014	2.737964	10118.720944	3695.71
2014	0.742401	2743.7018835	3695.71
2014	1.026597	3794.0079074	3695.71
2014	5.124616	18939.0958487	3695.71
2014	0.704403	2603.2708456	3695.71
2014	0.545228	2015.0052471	3695.71
2014	0.683613	2526.4378949	3695.71
2014	0.326357	1206.1210781	3695.71
2014	3.186878	11777.7804666	3695.71
2014	6.339221	23427.9260973	3695.71
2014	0.28554	1055.2753239	3695.71
2014	2.921965	10798.7363906	3695.71
2014	6.029548	22283.4612442	3695.71
2014	3.051581	11277.7610142	3695.71
2014	41.085212	151839.0317362	3695.71
