jahr	Kontinental BS	Global BS	Kontinental ZH	Global ZH	Kontinental ZH	Global BE	Kontinental GE	Global GE
1996	111.1819	99.3126	122.6166	102.608	92.1565	94.2086	111.8561	100.5617
2000	126.6112	107.5853	141.9549	113.6136	108.4681	105.1817	124.9565	106.9877
2002	124.9015	106.8432	137.1414	112.5612	104.3611	103.9817	127.3041	106.5614
2003	117.8925	104.8577	132.7222	110.1057	100.2264	101.9157	123.2102	105.4989
2004	119.0159	106.5483	132.0871	112.066	101.1864	103.7479	122.5876	107.8142
2006	117.1611	106.6269	130.3061	111.3452	104.8436	104.3733	122.2398	107.7053
2008	135.3056	107.2311	148.028	111.4037	119.6274	105.5164	136.8721	107.2748
2010	135.9693	107.8557	148.6229	112.5485	121.6514	106.3234	135.9837	107.9276
2012	135.2396	108.5761	148.4009	113.3995	124.955	106.9653	137.5492	108.3006
2014	134.6885	107.9746	147.5576	112.5891	120.8834	106.1885	137.8176	108.4709
