	 Zugezogene	 Weggezogene	Saldo
0-4	174.0128558	-384.8484848	400
5-9	90.17447199	-195.4086318	400
10-14	62.62626263	116.7125803	400
15-19	253.0762167	156.0146924	400
20-24	1261.432507	741.8732782	400
25-29	1300.367309	1344.444444	400
30-34	767.3094582	1091.64371	400
35-39	452.7089073	732.4150597	400
40-44	314.600551	493.5720845	400
45-49	259.5959596	376.7676768	400
50-54	201.2855831	267.2176309	400
55-59	134.7107438	186.0422406	400
60-64	91.36822773	145.087236	400
65-69	64.09550046	91.36822773	400
70-74	32.41505969	49.86225895	400
75-79	29.56841139	30.67033976	400
>79	43.25068871	50.13774105	400
Total	5532.598714	6454.086318	400
