WohnviertelId	Wohnviertel	Saldo	Wanderung	Umzug
1	Altstadt Grossbasel	-0.15391	0.6	-0.8
2	Vorstädte	0.41891	2.0	-1.6
3	Am Ring	2.00818	2.4	-0.4
4	Breite	0.87875	0.2	0.6
5	St. Alban	3.72811	2.1	1.7
6	Gundeldingen	-0.85202	0.00001	-0.9
7	Bruderholz	1.02597	-0.5	1.5
8	Bachletten	0.14766	-0.4	0.6
9	Gotthelf	0.28835	0.3	-0.0
10	Iselin	-0.07653	-0.2	0.1
11	St. Johann	-0.35860	-0.2	-0.2
12	Altstadt Kleinbasel	-0.44990	-0.7	0.3
13	Clara	-0.44096	0.6	-1.1
14	Wettstein	-0.34173	1.3	-1.6
15	Hirzbrunnen	0.37325	-0.5	0.9
16	Rosental	2.00292	2.4	-0.4
17	Matthäus	-1.59124	0.1	-1.7
18	Klybeck	-0.02742	0.7	-0.7
19	Kleinhüningen	0.20994	-0.5	0.7
20	Riehen	0.64342	-0.4	1.0
30	Bettingen	2.39077	1.5	0.9
