WohnviertelId	Wohnviertel	Anteil aus dem Ausland Zugezogene	Anzahl Zugezogene pro 100 Einwohner
1	Altstadt Grossbasel	66.7	11.8
2	Vorstädte	73.7	14.8
3	Am Ring	66.3	10.9
4	Breite	53.4	7.4
5	St. Alban	61.7	8.2
6	Gundeldingen	51.2	8.7
7	Bruderholz	57.0	4.5
8	Bachletten	57.7	5.7
9	Gotthelf	56.5	6.6
10	Iselin	55.9	6.5
11	St. Johann	65.8	7.9
12	Altstadt Kleinbasel	54	9.8
13	Clara	66.1	10
14	Wettstein	67.9	9.6
15	Hirzbrunnen	59.8	3.7
16	Rosental	70.8	11.7
17	Matthäus	65.9	9.0
18	Klybeck	66.2	7.8
19	Kleinhüningen	74.5	8.3
20	Riehen	60.7	4.1
30	Bettingen	52.4	6.2
