Jahr	Versiegelte Fläche	Wasserflächen	Grünflächen
2001	17078051	1332078	18788929
2002	17082616	1331234	18785226
2003	17353073	1329487	18516250
2004	17345751	1329539	18523369
2005	17027949	1333492	18593379
2006	16998965	1334599	18620295
2007	16984227	1334164	18633961
2008	17016684	1335703	18600649
2009	17014080	1335107	18603847
2010	17004173	1335115	18613697
2011	16987339	1337201	18628494
2012	16980574	1336796	18635667
2013	16907566	1337427	18708044
2014	16887865	1337705	18728382
2015	16911934	1337856	18704162
