Kategorie	Gymnasium	FMS	Brückenangebote/12. Schuljahr	Berufliche Grundbildung	Andere Lösung/Unbekannt	Keine Lösung
Alle						
2020: Alle	34.23952976	14.62160176	26.8185158	18.00146951	5.87803086	0.440852314
2021: Alle	37.0508982	14.22155689	20.13473054	18.03892216	9.95508982	0.598802395
2022: Alle	33.26530612	15.71428571	20.54421769	21.08843537	8.299319728	1.088435374
2023: Alle	35.5425601	14.55490578	18.25860949	22.93697206	8.382066277	0.32488629
....
Geschlecht						
2020: Männl.	30.69164265	11.52737752	27.08933718	25.21613833	4.899135447	0.576368876
2021: Männl.	32.1888412	11.87410587	22.88984263	23.03290415	9.298998569	0.715307582
2022: Männl.	27.74798928	12.60053619	23.5924933	27.74798928	7.64075067	0.670241287
2023: Männl.	30.86574655	10.28858218	21.07904642	30.11292346	7.528230866	0.125470514
.
2020: Weibl.	37.93103448	17.84107946	26.53673163	10.49475262	6.896551724	0.299850075
2021: Weibl.	42.38618524	16.79748823	17.11145997	12.5588697	10.67503925	0.470957614
2022: Weibl.	38.95027624	18.92265193	17.40331492	14.22651934	8.977900552	1.519337017
2023: Weibl.	40.56603774	19.13746631	15.22911051	15.22911051	9.299191375	0.539083558
.....
Muttersprache						
2020: Deutsch	46.01398601	14.68531469	15.8041958	18.6013986	4.615384615	0.27972028
2021: Deutsch	50.07429421	16.93907875	9.806835067	15.30460624	7.280832095	0.59435364
2022: Deutsch	46.04519774	16.8079096	9.463276836	18.6440678	8.192090395	0.847457627
2023: Deutsch	47.83163265	15.43367347	8.801020408	22.32142857	5.612244898	0
..
2020: Fremdsp.	21.20743034	14.55108359	39.00928793	17.3374613	7.275541796	0.619195046
2021: Fremdsp.	23.83107089	11.46304676	30.61840121	20.81447964	12.66968326	0.60331825
2022: Fremdsp.	21.39107612	14.69816273	30.83989501	23.35958005	8.398950131	1.312335958
2023: Fremdsp.	22.78145695	13.64238411	28.0794702	23.57615894	11.25827815	0.662251656
......
Nationalität						
2020: Ausland	25.87991718	11.38716356	39.13043478	14.49275362	8.488612836	0.621118012
2021: Ausland	29.19254658	10.97308489	31.67701863	16.14906832	11.18012422	0.82815735
2022: Ausland	24.10071942	13.1294964	29.67625899	20.86330935	10.25179856	1.978417266
2023: Ausland	26.12903226	14.19354839	25.32258065	22.90322581	10.80645161	0.64516129
...
2020: Schweiz	38.83826879	16.40091116	20.04555809	19.93166287	4.44191344	0.341685649
2021: Schweiz	41.50058617	16.06096131	13.59906213	19.10902696	9.261430246	0.468933177
2022: Schweiz	38.84026258	17.28665208	14.98905908	21.22538293	7.111597374	0.547045952
2023: Schweiz	41.89336235	14.79869423	13.49292709	22.95973885	6.746463547	0.108813928
