	Aargau	Basel-Landschaft	Basel-Stadt	Bern	Genf	Zug	Zürich	Schweiz
1999	53 493	49 828	107 495	59 997	84 156	98 231	84 692	62 815
2000	55 482	52 336	114 408	62 420	87 921	106 754	89 830	65 817
2001	57 217	54 860	120 092	64 015	87 178	111 272	89 980	67 134
2002	56 342	55 476	124 836	63 963	85 669	110 889	87 364	66 442
2003	55 890	55 757	129 640	64 335	85 693	111 230	87 649	66 669
2004	56 947	57 660	135 255	65 858	87 961	116 070	89 001	68 204
2005	58 291	59 554	140 310	67 518	91 906	121 495	91 032	70 242
2006	61 765	63 179	151 192	70 359	98 152	130 422	96 741	74 234
2007	65 258	66 651	160 855	73 467	105 106	140 109	102 815	78 453
2008	68 069	69 280	163 754	76 037	108 625	147 211	103 829	80 912
2009	65 288	67 417	160 149	74 376	104 191	144 258	99 971	78 298
2010	65 476	69 352	161 092	76 471	106 748	157 947	100 943	80 216
2011	65 703	70 116	167 997	77 295	106 039	156 101	100 702	80 779
2012	65 194	69 191	165 745	77 157	107 260	156 389	100 644	80 914
2013	65 721	69 905	166 651	77 907	108 392	162 334	100 613	81 429
2014	65 776	71 588	169 523	78 605	107 175	154 917	101 356	81 775
2015	64 457	72 261	171 919	77 791	104 826	160 241	100 005	81 092
2016	64 454	72 152	183 530	76 991	103 901	160 275	99 754	81 402
2017	64 447	72 574	190 999	76 865	105 089	154 098	99 942	81 306
2018	65 109	72 536	196 538	78 337	108 834	156 867	104 286	83 629
2019	65 628	72 245	196 731	79 582	109 296	160 115	102 100	83 899
2020	63 556	71 049	189 785	77 163	103 102	156 915	96 801	80 718

